Iteration	AverageReturn	StdReturn
0	4460.34148867	504.993919545
1	4361.62089192	787.910341533
2	4238.35328327	1021.28077134
3	4551.3024466	220.243030137
4	4587.54091281	168.335418179
5	4536.1299135	153.39311344
6	4571.65449705	123.782802078
7	4468.68140776	489.42171743
8	4363.04400464	670.930898282
9	4477.84996454	448.159752304
10	4428.80299023	509.894288663
11	4219.75072886	982.726078559
12	4315.68265715	819.480876493
13	4549.6823578	116.079270449
14	4108.95615517	1174.93913987
15	4215.44535307	936.071898708
16	4431.84062818	476.960091374
17	4586.95139781	110.834919291
18	4431.21646369	610.424550643
19	4520.70269831	347.196475846
