Iteration	AverageReturn	StdReturn
0	4543.92556297	163.700815617
1	4532.86754019	651.078836035
2	4718.40341227	334.079528476
3	4804.59842376	93.0563181661
4	4785.65700683	127.465976282
5	4831.53888416	93.6407853724
6	4767.63356673	112.208596337
7	4801.27090284	91.1866352943
8	4601.36647927	951.83089995
9	4787.38593852	275.842000254
10	4664.15443565	710.401178585
11	4804.25359337	113.174008233
12	4806.84341705	88.881374471
13	4772.95084954	103.853744593
14	4646.54370371	603.505425269
15	4604.3418062	770.681770359
16	4809.23885621	100.484625256
17	4703.23717096	418.746724941
18	4790.78266831	113.777606254
19	4783.07195431	108.151801332
