Iteration	AverageReturn	StdReturn
0	3817.96495454	121.424448089
1	3936.04442016	149.995208225
2	3852.30571246	120.093945537
3	3906.3257817	137.039474081
4	3927.96557883	92.3172335412
5	3905.73231232	132.250735059
6	3894.78388609	104.606664587
7	3927.04549651	108.76612839
8	3891.86357872	120.74589099
9	3857.56540305	135.371682439
10	3876.91409242	118.576842405
11	3907.41133635	109.120138546
12	3877.17466	141.174229105
13	3875.88491827	149.663161746
14	3893.42180931	125.035365858
15	3927.75757089	114.108252154
16	3901.79379918	131.083160122
17	3884.49668982	145.973126754
18	3926.50703736	107.673754351
19	3902.56928807	121.983220478
