Iteration	AverageReturn	StdReturn
0	3976.17700506	114.034047864
1	4080.46221353	84.1893455539
2	4133.95250959	81.0167961747
3	4101.48136021	94.9826005054
4	4135.3255688	80.7781973991
5	4140.00386975	97.4145974268
6	4127.59048502	98.0957605992
7	4136.09651306	87.8447357049
8	4168.61448977	58.1743328113
9	4175.37724354	76.5500116081
10	4152.01156376	100.515577257
11	4121.61130162	86.6234243495
12	4134.83157964	109.120217262
13	4128.08832282	70.0049383219
14	4142.06574835	99.4376440103
15	4145.22541853	68.6286481839
16	4164.73279931	89.1040051378
17	4096.95377812	90.370097307
18	4148.86261807	88.9318617818
19	4160.6740329	50.5316630273
