Iteration	AverageReturn	StdReturn
0	696.648776946	27.07925021
1	748.47888752	151.429815664
2	700.073941219	72.9177435482
3	731.887652211	113.92031914
4	715.92036383	112.632748448
5	702.746427086	72.807579689
6	737.028510731	118.896270982
7	753.175757248	123.58988432
8	728.528427466	88.1725040827
9	767.419942833	135.862982943
10	704.908491269	37.7345201986
11	820.057900984	162.74570912
12	722.067580433	95.4241626287
13	710.949850348	96.7033252778
14	721.164026913	74.5446602988
15	748.766636126	126.705015019
16	732.385777969	99.6523391183
17	732.09846089	121.161806134
18	754.424397187	137.548581585
19	718.219629462	97.6934148631
