Iteration	AverageReturn	StdReturn
0	1138.58195909	332.371517359
1	896.423291123	254.391048933
2	1151.49985307	695.596874896
3	933.454536471	275.828983102
4	1060.26470964	711.936395806
5	943.419330413	322.135059245
6	914.833224501	272.414134066
7	999.866949869	522.351021601
8	1061.79869625	347.475856152
9	1000.63941619	386.03117231
10	975.857956381	353.259897077
11	862.772266804	337.564889514
12	997.908818987	339.37936976
13	1161.14782133	389.451785869
14	994.682731442	313.7296743
15	1108.21639631	427.538386532
16	1014.65476481	321.52762664
17	1051.94580151	372.616078853
18	1072.21491361	383.494569749
19	1168.59860878	531.649394659
