Iteration	AverageReturn	StdReturn
0	1054.7477548	44.5027933049
1	2294.09469315	467.288023567
2	3707.44200499	260.030021057
3	3172.08454655	856.691867273
4	3778.9154217	4.68171457329
5	3775.94642069	2.83087791895
6	3776.23605724	3.29135654141
7	3776.0847846	4.88839549559
8	3775.58082393	3.35472305027
9	3776.7114718	3.99064616387
10	3775.31472267	2.87022549201
11	3776.24774355	2.89276807641
12	3775.22554377	3.05415386535
13	3775.01634936	4.56489670726
14	3777.48680881	3.09514046612
15	3776.23465168	4.09691179256
16	3777.64782077	4.50033528355
17	3775.7392206	3.79610240281
18	3777.38831693	3.00064812486
19	3775.72011362	4.24151812416
