Iteration	AverageReturn	StdReturn
0	295.814730365	88.5813632879
1	238.349607493	76.3277190139
2	243.129245237	81.1495698412
3	259.916241087	57.306794984
4	247.425765644	56.0124802139
5	241.914222088	46.0838442162
6	253.931450644	63.2003431654
7	251.555778685	78.5263630011
8	268.208717827	64.7656412232
9	247.556079083	72.1923660942
10	251.774811937	69.0744558299
11	254.696568892	45.9480436897
12	253.242338361	76.8047371933
13	228.623935494	59.7224981115
14	229.862209508	57.370454754
15	229.956419335	55.6306188663
16	234.963972145	54.0542848773
17	265.384523529	68.401751621
18	254.279404448	82.3064869712
19	232.650468408	63.4344756441
