Iteration	AverageReturn	StdReturn
0	277.763885265	74.5699695095
1	340.013799005	83.8174345466
2	281.151168831	58.8467520166
3	266.38751159	29.5122759836
4	273.078970953	22.275127559
5	245.575394751	18.4615901498
6	328.153923421	40.2691355568
7	388.722635173	78.4953628383
8	398.844472211	117.74492814
9	474.793752092	205.53054157
10	423.280078799	99.1227466344
11	500.104497995	187.592754877
12	454.008649777	133.582121407
13	508.123738555	171.632223784
14	464.06309332	136.519517931
15	505.570051114	158.128001299
16	537.379418303	162.645475863
17	496.810935012	105.635839043
18	539.956389194	170.934547794
19	500.060948891	133.550493957
