Iteration	AverageReturn	StdReturn
0	-9.14313732169	2.1057737525
1	-10.2464604937	2.91303780186
2	-9.36505170342	2.89134055057
3	-9.6073462012	2.38382175938
4	-9.0086068586	2.22443507996
5	-9.14235838387	1.41554386753
6	-9.32533608551	1.92161010184
7	-9.52716548162	2.15173210654
8	-9.18721318721	2.43739650362
9	-8.76734130122	1.87788078057
10	-9.31907915487	2.54378382632
11	-8.70922062576	1.71550860527
12	-9.42346594896	2.18220439629
13	-8.48235034653	1.9664693231
14	-9.52440599013	2.67361159834
15	-10.0461903527	2.14692809316
16	-10.4576060332	2.28085450116
17	-9.40975591137	2.4899395935
18	-9.7550098025	2.27262128127
19	-8.75621744838	1.7181797476
