Iteration	AverageReturn	StdReturn
0	-9.514077968	4.67060656967
1	-6.8483366701	2.22806332751
2	-7.28919411373	3.00020247685
3	-5.14896746284	1.78107674457
4	-4.61655540225	1.47905228634
5	-4.17923458664	1.21148217865
6	-4.23271202296	1.57480039431
7	-4.30797880136	1.56205175651
8	-3.86158286292	1.32237728902
9	-4.11994541821	1.39324099865
10	-4.33389428086	1.80342014308
11	-4.66312498685	1.19078597682
12	-3.88081879349	1.56953718566
13	-4.16823813172	1.25349473697
14	-3.78993609335	1.38466284504
15	-4.19153633158	1.7151942544
16	-3.35060677979	1.29864476833
17	-4.76815479509	1.75597118833
18	-4.48480997587	1.46280164822
19	-3.52572072065	1.45917975484
