Iteration	AverageReturn	StdReturn
0	731.896679135	356.841079416
1	245.597115443	370.464617925
2	517.360851842	524.222617
3	375.242482521	396.621897565
4	586.719647307	560.506067304
5	452.02708465	572.73838478
6	315.448568014	432.609821525
7	605.402818104	488.550645007
8	399.929967675	379.255007212
9	662.501627219	561.574809086
10	464.163909044	642.583052804
11	572.401418705	554.032101995
12	446.562993296	583.800058368
13	408.118004614	472.033537121
14	341.961541246	468.061476134
15	537.260068744	668.650000523
16	455.874748994	496.489902983
17	403.340101964	466.662009166
18	391.087910426	636.457336138
19	596.027603618	501.401229289
