Iteration	AverageReturn	StdReturn
0	672.000153601	623.031121462
1	1867.64727184	877.010515332
2	5434.69323044	45.0795878762
3	5421.01186299	47.2655173625
4	5454.79401462	90.7731058749
5	5453.22811906	123.152769513
6	5460.86284453	63.7242425634
7	5473.87194235	65.0663030077
8	5469.63486304	67.2099162387
9	5484.99459822	44.1331706997
10	5282.960857	866.813632308
11	5460.96627823	80.2270775643
12	5469.98407369	63.2927678597
13	5472.67758044	53.748518416
14	5283.16625756	864.037643147
15	5480.75283479	61.9244106372
16	5388.20256771	512.71497588
17	5085.95568353	984.286351731
18	5496.42654867	51.7899718995
19	5285.86858374	857.049898125
