LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.274576	52.04958128929138	0	-165.432768789	38.9843398865	-68.1574205902	-283.141695549	151.0	0.0	100113	100113
0.824125	93.90913105010986	1	-278.464051741	38.4618757101	-177.558089811	-457.079966268	151.0	0.0	100113	200226
0.223257	135.96582889556885	2	-193.101436078	44.4911055614	-76.9018469034	-398.521668174	151.0	0.0	100113	300339
0.173715	177.67377424240112	3	-145.588551524	44.2620461728	40.1198954078	-296.243352959	151.0	0.0	100113	400452
0.0768664	219.65825176239014	4	-162.394841644	33.7235371481	-53.225819436	-271.722159402	151.0	0.0	100113	500565
0.0285741	261.54917883872986	5	-140.81620661	30.4989547609	-60.9539623691	-240.267827523	151.0	0.0	100113	600678
0.0037816	303.8451225757599	6	-122.959846838	31.6738294955	-43.6718676216	-237.60728628	151.0	0.0	100113	700791
0.0302735	346.219687461853	7	-111.712679372	28.15690372	-22.099245079	-210.837504233	151.0	0.0	100113	800904
0.0402174	388.7745110988617	8	-104.687413625	26.4377395302	-18.5809906759	-187.314115133	151.0	0.0	100113	901017
0.0149416	431.1356589794159	9	-90.5598797042	28.3892120282	-1.83609557876	-213.591736775	151.0	0.0	100113	1001130
0.0126623	473.4351089000702	10	-83.8236939137	29.5939679764	19.9056001443	-197.45966334	151.0	0.0	100113	1101243
0.019863	515.5758149623871	11	-80.0792745087	28.5112295868	2.17428401137	-180.002371184	151.0	0.0	100113	1201356
0.0280605	557.9868400096893	12	-74.5983193749	23.1933043466	14.4217019846	-166.015987047	151.0	0.0	100113	1301469
0.0296709	600.5555384159088	13	-71.7582684168	22.7474130205	8.45274124755	-148.658411046	151.0	0.0	100113	1401582
0.0194243	643.3945524692535	14	-71.4047551017	20.9568102895	-8.84269872947	-175.846694616	151.0	0.0	100113	1501695
0.017258	685.8172996044159	15	-67.7496100715	24.1314992591	9.48304670101	-170.162833376	151.0	0.0	100113	1601808
0.0178874	728.0424489974976	16	-62.1573362035	27.6326968056	18.1522909599	-181.898896258	151.0	0.0	100113	1701921
0.0173071	770.0740206241608	17	-53.8643751987	33.1909027496	28.1768721252	-158.949301577	151.0	0.0	100113	1802034
0.0224654	812.571884393692	18	-58.1479338598	27.7304211459	24.8643508208	-171.956168887	151.0	0.0	100113	1902147
0.0477528	855.2566125392914	19	-56.7270854419	21.7454413905	7.76744302461	-146.336352651	151.0	0.0	100113	2002260
0.0182943	899.3650832176208	20	-48.0840363022	19.0218889614	28.2268449995	-143.454221708	151.0	0.0	100113	2102373
0.0125648	941.9474608898163	21	-48.5488560927	22.4065773444	12.9166435953	-142.769545827	151.0	0.0	100113	2202486
0.0159357	984.4195945262909	22	-44.7642301459	24.2956668542	16.6182988804	-121.139349797	151.0	0.0	100113	2302599
0.0216137	1026.9018244743347	23	-39.3454249824	28.7458536049	43.4174581078	-174.924216322	151.0	0.0	100113	2402712
0.012016	1069.533231496811	24	-32.4148542628	29.249878186	55.4387745595	-177.705810866	151.0	0.0	100113	2502825
0.00965299	1111.8364765644073	25	-29.2196882058	31.0573455226	76.2651278995	-144.06896793	151.0	0.0	100113	2602938
0.00988216	1154.009612083435	26	-30.8630422142	31.4097748869	66.9991935338	-186.160656945	151.0	0.0	100113	2703051
0.0151563	1196.3658092021942	27	-27.1644089832	30.9251365282	115.820763618	-154.418042008	151.0	0.0	100113	2803164
0.0111996	1238.8040924072266	28	-21.2325692972	26.8374299262	65.7053373657	-132.647429986	151.0	0.0	100113	2903277
0.0161769	1281.271844625473	29	-14.9740892252	26.318475382	56.2966030389	-127.267536789	151.0	0.0	100113	3003390
0.013399	1323.9125463962555	30	-11.071028716	25.5813409579	67.7995800018	-119.746091751	151.0	0.0	100113	3103503
0.0139204	1366.1085784435272	31	-5.79174648368	29.8091931034	74.295251637	-98.5977394923	151.0	0.0	100113	3203616
0.0336642	1408.3927133083344	32	-12.0068275446	31.6816254511	98.617307867	-139.037536439	151.0	0.0	100113	3303729
0.0133103	1450.5998828411102	33	-11.6253701209	34.7059315849	77.7659231314	-198.235730193	151.0	0.0	100113	3403842
0.0178402	1492.8445398807526	34	-2.09383471658	29.7456090596	85.470629929	-122.385167656	151.0	0.0	100113	3503955
0.0215684	1535.4183099269867	35	-2.35327549854	22.965601019	68.1671580368	-105.502262918	151.0	0.0	100113	3604068
0.0294395	1577.7983322143555	36	3.32598966688	23.3097332959	86.0773564717	-73.3599409688	151.0	0.0	100113	3704181
0.00853922	1620.218197107315	37	8.5215529017	27.8575118334	83.0039957747	-104.788220641	151.0	0.0	100113	3804294
0.0130427	1662.4817457199097	38	13.5593963477	35.4763086903	104.549618986	-131.191383399	151.0	0.0	100113	3904407
0.00040856	1704.6192407608032	39	25.648914896	43.0397039527	152.039161699	-154.419332367	151.0	0.0	100113	4004520
0.0136563	1748.4758849143982	40	32.1090551885	37.275220484	125.384031578	-135.226482133	151.0	0.0	100113	4104633
0.00714342	1791.2366156578064	41	33.1495152702	37.1411921691	130.352430064	-142.143883296	151.0	0.0	100113	4204746
0.0101163	1834.2121875286102	42	21.033376614	34.4224425653	103.730604382	-121.637829346	151.0	0.0	100113	4304859
0.0251302	1877.7724859714508	43	14.0134108439	23.3825048246	80.6228445965	-107.496176111	151.0	0.0	100113	4404972
0.0073474	1921.0524897575378	44	27.382111879	26.0464067195	88.1956490035	-106.071615855	151.0	0.0	100113	4505085
0.0628454	1963.8179941177368	45	39.7916815904	34.2018343318	133.025959803	-102.768281493	151.0	0.0	100113	4605198
0.0383217	2006.5908150672913	46	41.56347279	43.2269340779	138.512373392	-142.427086116	151.0	0.0	100113	4705311
0.0342825	2049.285352230072	47	28.7540809944	54.4661283974	171.719620574	-149.606955451	151.0	0.0	100113	4805424
0.0373073	2092.1265394687653	48	21.6314735996	47.0489774364	155.077736014	-120.590036453	151.0	0.0	100113	4905537
0.00141986	2133.6912727355957	49	34.7216490366	34.1986357479	132.974937374	-130.304068067	151.0	0.0	100113	5005650
-0.0189747	2172.1777472496033	50	49.3091371896	36.8860897044	162.6228458	-144.457500663	151.0	0.0	100113	5105763
0.00887645	2210.580075740814	51	42.428088713	37.8352707651	136.837912705	-94.2310865691	151.0	0.0	100113	5205876
0.03749	2249.0962014198303	52	35.7249825895	41.7851959853	151.030199993	-149.712050859	151.0	0.0	100113	5305989
0.0392948	2287.661608695984	53	50.1227737668	46.3240494112	166.524767228	-86.463433877	151.0	0.0	100113	5406102
0.0130033	2326.1829068660736	54	54.1732594948	48.6659186489	180.026001315	-121.079633572	151.0	0.0	100113	5506215
0.00761584	2364.8573276996613	55	40.5313269333	38.312860066	129.078924287	-81.7175627285	151.0	0.0	100113	5606328
0.0312025	2403.7138192653656	56	28.6348653193	32.7084426212	124.152394519	-97.9171920055	151.0	0.0	100113	5706441
-0.00262623	2442.4100246429443	57	28.8348795392	43.5453098792	118.167850809	-94.2315016952	151.0	0.0	100113	5806554
0.0299105	2480.951620578766	58	32.4144083223	44.9745656668	143.210720737	-82.8658344633	151.0	0.0	100113	5906667
0.0027819	2519.5127079486847	59	39.7235758196	41.7199437482	157.445773293	-100.061929234	151.0	0.0	100113	6006780
0.0123056	2558.0121195316315	60	50.8511317867	40.5033271353	162.820267924	-110.563600936	151.0	0.0	100113	6106893
0.0188948	2596.442153453827	61	55.6143116766	41.7313973722	178.33859022	-66.9495385827	151.0	0.0	100113	6207006
0.0235334	2634.928826570511	62	54.4060412737	43.3536108647	178.449578432	-62.6235189377	151.0	0.0	100113	6307119
0.0208402	2677.1943559646606	63	43.4681389702	42.6812668373	136.981647329	-76.7739476405	151.0	0.0	100113	6407232
0.037818	2724.2641065120697	64	30.915714965	43.8883712366	121.592310073	-83.1077490042	151.0	0.0	100113	6507345
0.0688166	2766.2128779888153	65	23.6232887932	44.8830371974	137.10069943	-108.784167691	151.0	0.0	100113	6607458
0.0142462	2806.402738571167	66	34.06918628	42.5720983634	162.441594667	-86.2104747055	151.0	0.0	100113	6707571
0.0358038	2847.990954399109	67	48.1467156305	35.4553438573	142.714546367	-50.8218778761	151.0	0.0	100113	6807684
0.0402295	2887.8074383735657	68	45.9376952843	33.6497159516	123.396887685	-46.6577320377	151.0	0.0	100113	6907797
0.0293676	2926.0952458381653	69	41.1272222398	41.2281707655	140.25843839	-64.039127241	151.0	0.0	100113	7007910
-0.0296647	2964.13046169281	70	28.2814624139	43.4400849766	148.487094515	-61.2005869491	151.0	0.0	100113	7108023
0.149651	3002.363105535507	71	24.0848184167	34.6595034126	129.907425108	-87.6440178824	151.0	0.0	100113	7208136
0.0827083	3040.616187095642	72	18.4251745608	23.439024718	122.57281614	-73.0109102265	151.0	0.0	100113	7308249
0.0833841	3078.5052723884583	73	9.04504398665	28.1758749223	85.3964685742	-136.700376628	151.0	0.0	100113	7408362
0.243079	3116.929132938385	74	14.6005413906	17.2394023968	64.3638116498	-70.6858434555	151.0	0.0	100113	7508475
