LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.160775	9.163987874984741	0	-84.9307172176	36.238343239	-9.61023501947	-175.512397224	151.0	0.0	10117	10117
1.58486	12.616029739379883	1	-203.822412777	29.4263267432	-136.83008108	-283.717104738	151.0	0.0	10117	20234
0.17308	16.036885499954224	2	-129.310359138	38.8895981453	1.16647124871	-247.320651911	151.0	0.0	10117	30351
0.26735	19.462347507476807	3	-63.8569218061	32.4879841521	24.7732537767	-132.032244582	151.0	0.0	10117	40468
0.0758394	22.926353454589844	4	-58.5106390697	31.3694108703	13.22443294	-145.129798729	151.0	0.0	10117	50585
0.129468	26.425679683685303	5	-69.62550754	35.4253581818	-7.504102385	-185.758154421	151.0	0.0	10117	60702
0.117847	29.903137683868408	6	-75.0564198481	46.4240868366	49.6323210225	-185.772114244	151.0	0.0	10117	70819
0.0520128	33.356011152267456	7	-56.3112954502	36.3835385121	37.6865660713	-172.85672105	151.0	0.0	10117	80936
0.119098	36.76402950286865	8	-35.3301863542	42.4823562562	44.6114587843	-171.224551816	151.0	0.0	10117	91053
0.116035	40.25933575630188	9	-31.3730779173	30.9376410333	25.0180650419	-106.252403857	151.0	0.0	10117	101170
0.0743483	43.909367084503174	10	-27.4412459801	22.5319680809	36.26203623	-91.4448338762	151.0	0.0	10117	111287
0.104969	47.410282611846924	11	-22.5581989257	24.5612378345	36.0641529832	-132.318374893	151.0	0.0	10117	121404
0.0744433	50.979390382766724	12	-21.5048492035	17.1060451397	13.0482888449	-68.1517133612	151.0	0.0	10117	131521
0.0665071	54.62312030792236	13	-28.6178049118	15.249853342	11.0482961862	-82.0962388616	151.0	0.0	10117	141638
0.127965	58.14292597770691	14	-23.6104427138	14.2662666181	11.2399174289	-59.0838663093	151.0	0.0	10117	151755
0.0890363	61.66693162918091	15	-11.779756927	22.9380988153	22.7642619322	-82.7199586036	151.0	0.0	10117	161872
0.107489	65.12701988220215	16	-5.54963996597	17.3692151781	26.814477786	-58.9062642551	151.0	0.0	10117	171989
0.0529406	68.56353521347046	17	-17.0494011303	16.631288646	29.3979943845	-63.8805906521	151.0	0.0	10117	182106
0.0979251	71.99479746818542	18	-16.15904369	18.3112641145	33.7752475911	-62.2024738129	151.0	0.0	10117	192223
0.0323287	75.42220878601074	19	-3.5731858792	15.0409037889	41.5420730787	-35.1401653033	151.0	0.0	10117	202340
0.0857965	78.82845902442932	20	15.0658005728	25.6354169855	80.0510808998	-46.2855715792	151.0	0.0	10117	212457
0.0442158	82.22208499908447	21	3.65462062734	54.0529756058	116.025174204	-160.198839865	151.0	0.0	10117	222574
0.131586	85.61156249046326	22	-47.033996941	64.7031946582	87.2798925965	-214.052012989	151.0	0.0	10117	232691
0.200012	88.9880256652832	23	-47.0737841352	56.941959954	94.674964629	-146.213056383	151.0	0.0	10117	242808
0.0605273	92.40205788612366	24	-54.4784084351	42.6842192701	26.4414986279	-164.953347199	151.0	0.0	10117	252925
