LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.624697	5.824052095413208	0	-210.2805271	60.6159424964	-124.519909196	-341.72299973	151.0	0.0	1057	1057
0.440603	6.21020245552063	1	-236.247242411	46.5576807346	-169.222231464	-299.181540832	151.0	0.0	1057	2114
0.450546	6.564608573913574	2	-293.987157647	46.1521869186	-222.579331755	-351.152915395	151.0	0.0	1057	3171
0.452812	6.911458253860474	3	-259.454481427	39.036651255	-181.513448475	-305.95148116	151.0	0.0	1057	4228
0.264613	7.278198003768921	4	-239.731871531	52.2909190093	-179.0835951	-308.447523966	151.0	0.0	1057	5285
0.242789	7.634005546569824	5	-240.169068635	34.1532491312	-191.098506535	-292.826622742	151.0	0.0	1057	6342
0.257712	7.978534698486328	6	-227.757514162	47.4938488215	-167.762618352	-294.009719601	151.0	0.0	1057	7399
0.22182	8.32529902458191	7	-200.098013004	28.3869353873	-158.833259583	-237.820347832	151.0	0.0	1057	8456
0.197251	8.672841787338257	8	-190.44325793	39.1272388041	-138.729699975	-256.160749782	151.0	0.0	1057	9513
0.126584	9.01765489578247	9	-193.14230242	63.2978337445	-122.795229178	-299.714868469	151.0	0.0	1057	10570
0.178505	9.36950969696045	10	-175.078074632	30.6721355782	-141.363919164	-225.920103908	151.0	0.0	1057	11627
0.213277	9.72316598892212	11	-173.914832951	34.8021055332	-106.979069296	-212.740510086	151.0	0.0	1057	12684
0.121996	10.06966757774353	12	-193.017077304	39.5938911671	-135.056220503	-267.474956197	151.0	0.0	1057	13741
0.264783	10.421876430511475	13	-143.1246313	11.0403567759	-127.305451956	-163.892986503	151.0	0.0	1057	14798
0.147891	10.776830911636353	14	-134.068180777	24.8959174801	-101.924052695	-162.992602798	151.0	0.0	1057	15855
0.196073	11.121327877044678	15	-155.60101854	46.5422842231	-121.2488511	-267.027688503	151.0	0.0	1057	16912
0.184284	11.468760013580322	16	-119.935444595	24.4016669437	-76.7047325499	-151.78252366	151.0	0.0	1057	17969
0.142317	11.809893131256104	17	-125.648885046	32.6805885823	-76.8825123411	-163.313792342	151.0	0.0	1057	19026
0.185524	12.161117553710938	18	-111.846461496	28.9142888419	-64.5419339774	-145.910375928	151.0	0.0	1057	20083
0.10195	12.509880542755127	19	-103.310576332	28.9396037467	-54.0141507428	-151.531002808	151.0	0.0	1057	21140
0.212605	12.858074426651001	20	-131.231634967	23.2027767685	-109.478460032	-181.876700053	151.0	0.0	1057	22197
0.172434	13.202594757080078	21	-100.237283616	39.6392860371	-32.7815609584	-156.111089312	151.0	0.0	1057	23254
0.160032	13.552476644515991	22	-141.858980699	34.2471908053	-68.8230982961	-180.815102429	151.0	0.0	1057	24311
0.189186	13.900712728500366	23	-146.486495329	52.6695003198	-62.6893393381	-228.620575652	151.0	0.0	1057	25368
0.193391	14.251455307006836	24	-135.479106785	38.3967191439	-80.1115405997	-176.305439881	151.0	0.0	1057	26425
0.232559	14.602040529251099	25	-121.779861863	64.9060376037	-33.9952337366	-257.104187859	151.0	0.0	1057	27482
0.222009	14.948882818222046	26	-97.3513329766	27.9512345561	-51.5336262823	-142.544162273	151.0	0.0	1057	28539
0.131709	15.296598196029663	27	-90.6516606071	36.5707477403	-45.1826074814	-145.661352443	151.0	0.0	1057	29596
0.166755	15.6481192111969	28	-46.2428925251	29.4810538125	19.4990523272	-80.53014309	151.0	0.0	1057	30653
0.184483	15.999917268753052	29	-28.8657535566	27.2567122786	6.81330629037	-63.1733747555	151.0	0.0	1057	31710
0.13235	16.3486909866333	30	-45.2251887561	35.896163685	3.3075938577	-85.865727492	151.0	0.0	1057	32767
0.315586	16.694602727890015	31	-49.0072191375	37.4330772265	7.82711515979	-112.097520838	151.0	0.0	1057	33824
0.214586	17.046786069869995	32	-52.0636863581	66.3660955933	45.2779609106	-180.920123447	151.0	0.0	1057	34881
0.182957	17.39647650718689	33	-79.3262223941	23.0087758658	-25.125342024	-97.3510989765	151.0	0.0	1057	35938
0.128757	17.756739139556885	34	-74.9333751898	38.3136917551	1.92490186677	-126.041818108	151.0	0.0	1057	36995
0.210969	18.104076385498047	35	-132.381173067	48.5519051647	-41.2659962828	-193.982121968	151.0	0.0	1057	38052
0.242004	18.462422132492065	36	-178.883174224	55.8376682246	-81.0881753412	-262.830022734	151.0	0.0	1057	39109
0.152577	18.814653396606445	37	-164.674256716	38.0141556058	-120.200735558	-235.58951561	151.0	0.0	1057	40166
0.377592	19.162868976593018	38	-197.357833983	34.8414916475	-149.77716192	-252.014629928	151.0	0.0	1057	41223
0.33772	19.51450490951538	39	-190.755616346	45.1035353573	-141.933368485	-288.120691776	151.0	0.0	1057	42280
0.220345	19.865440845489502	40	-120.203415262	54.8174387261	-22.8025916703	-196.799670647	151.0	0.0	1057	43337
0.246729	20.211918354034424	41	-93.2148729492	51.0589806754	13.4568594939	-150.31086162	151.0	0.0	1057	44394
0.25614	20.564130783081055	42	-64.7344840064	36.6246642001	-11.1675761314	-125.658276279	151.0	0.0	1057	45451
0.212922	20.905648231506348	43	-65.6572584805	34.9564647932	-9.60827444355	-109.05354817	151.0	0.0	1057	46508
0.19564	21.25694441795349	44	-42.3093390393	13.8665972487	-10.7779972531	-56.5387124012	151.0	0.0	1057	47565
0.441613	21.625773191452026	45	-50.672729613	15.6165271078	-17.4578148202	-66.1007667452	151.0	0.0	1057	48622
0.20512	21.991658926010132	46	-41.5774156353	17.2125704051	-23.9338170836	-78.1957330349	151.0	0.0	1057	49679
0.222943	22.364514350891113	47	-64.34003192	24.3407396404	-37.6752155302	-107.714076157	151.0	0.0	1057	50736
0.266929	22.719952821731567	48	-91.1446301821	13.6735389195	-72.8203832193	-115.563987731	151.0	0.0	1057	51793
0.242237	23.08129072189331	49	-87.1417953375	33.1934341839	-25.9028333552	-125.01128449	151.0	0.0	1057	52850
0.216237	23.42849588394165	50	-94.0014750049	17.867170918	-76.2594228267	-121.043283698	151.0	0.0	1057	53907
0.111999	23.77614712715149	51	-109.220708308	38.023616528	-48.5875551625	-145.567639434	151.0	0.0	1057	54964
0.176909	24.128052949905396	52	-119.688249402	17.8892968592	-93.0699473325	-144.798743093	151.0	0.0	1057	56021
0.250162	24.476361513137817	53	-144.949190381	46.8719723263	-78.777195619	-245.109195856	151.0	0.0	1057	57078
0.277321	24.823076963424683	54	-144.614611003	31.0070194023	-87.5119943277	-179.023443867	151.0	0.0	1057	58135
0.252453	25.17710566520691	55	-135.220131741	35.4410909459	-87.5801827197	-198.067411734	151.0	0.0	1057	59192
0.34293	25.527580738067627	56	-114.424606772	33.994101391	-53.8730669445	-170.749149781	151.0	0.0	1057	60249
0.248576	25.87904381752014	57	-89.4542872367	24.8177732715	-50.6966218624	-128.036437353	151.0	0.0	1057	61306
0.274153	26.229031562805176	58	-98.2547494938	37.5655730301	-50.1572539659	-171.432179561	151.0	0.0	1057	62363
0.302558	26.57547378540039	59	-129.193695911	35.9275086026	-79.7962292745	-189.252125272	151.0	0.0	1057	63420
0.473592	26.928527116775513	60	-78.9783014343	15.6774575033	-62.2434267149	-101.890713191	151.0	0.0	1057	64477
0.285282	27.287938833236694	61	-93.5635878415	28.9810313169	-34.3546556635	-128.472782371	151.0	0.0	1057	65534
0.423567	27.641955852508545	62	-61.2999017686	24.2379514064	-28.3141150583	-93.0173221861	151.0	0.0	1057	66591
0.363231	27.994970083236694	63	-60.1855419317	38.2201564559	-13.9088731908	-128.691423621	151.0	0.0	1057	67648
0.310861	28.35961675643921	64	-75.2245774255	44.131578966	-28.6586396314	-167.336869075	151.0	0.0	1057	68705
0.261589	28.71461248397827	65	-108.09834905	52.0276675254	-28.830416863	-181.274198679	151.0	0.0	1057	69762
0.401877	29.066335916519165	66	-61.9478927881	17.2400330664	-33.3870548354	-81.6396331172	151.0	0.0	1057	70819
0.335125	29.409021139144897	67	-95.454260545	34.516613258	-47.5254722778	-150.735038997	151.0	0.0	1057	71876
0.242017	29.758426904678345	68	-88.7465489926	27.5096953317	-50.6109006125	-135.287833935	151.0	0.0	1057	72933
0.219687	30.112706899642944	69	-69.2604736605	28.92314062	-15.5550947252	-110.548574564	151.0	0.0	1057	73990
0.349886	30.461719036102295	70	-84.4932093371	18.467597842	-65.1314778089	-125.826771651	151.0	0.0	1057	75047
0.268996	30.813785791397095	71	-108.911416754	37.1869065792	-48.7199120881	-183.082435208	151.0	0.0	1057	76104
0.213161	31.160071849822998	72	-97.7601758395	33.0754388856	-56.6071690892	-150.700059092	151.0	0.0	1057	77161
0.337368	31.52035927772522	73	-128.381324317	48.6806530037	-75.8345381618	-241.466115023	151.0	0.0	1057	78218
0.448678	31.873044729232788	74	-140.837841098	32.280217155	-99.7090056604	-203.578607492	151.0	0.0	1057	79275
0.230701	32.21764373779297	75	-154.828146215	24.1936478925	-121.386255613	-193.193306189	151.0	0.0	1057	80332
0.461739	32.56599521636963	76	-191.16041964	42.0677411169	-138.085191054	-252.048794305	151.0	0.0	1057	81389
0.420125	32.92447328567505	77	-180.221670769	30.295307353	-116.692436518	-221.16844356	151.0	0.0	1057	82446
0.386558	33.269099950790405	78	-180.362828007	25.9721910371	-145.399382501	-223.750388748	151.0	0.0	1057	83503
0.278968	33.620227098464966	79	-143.83853734	74.1434105001	-30.9333578446	-248.874031331	151.0	0.0	1057	84560
0.317544	33.96038794517517	80	-105.498706418	49.157097813	-54.6679279331	-204.999954842	151.0	0.0	1057	85617
0.277524	34.312007188797	81	-94.7276705606	64.423420028	-46.7430339191	-247.558602798	151.0	0.0	1057	86674
0.429741	34.665953397750854	82	-126.334039451	67.1215830194	2.14039916591	-234.840271856	151.0	0.0	1057	87731
0.435213	35.01478815078735	83	-42.7805736509	21.0213513001	-13.0545936715	-76.3444008044	151.0	0.0	1057	88788
0.178936	35.37711310386658	84	-56.082760319	22.5854919942	-32.0055494038	-102.966279463	151.0	0.0	1057	89845
0.335769	35.727787256240845	85	-18.8963561683	14.0428204715	-6.28961233911	-37.6541820862	151.0	0.0	1057	90902
0.326901	36.077255725860596	86	-81.7660569227	31.7566542256	-32.6577696709	-126.139764701	151.0	0.0	1057	91959
0.622855	36.43380117416382	87	-97.0571055873	28.8676572663	-60.191801061	-146.240916327	151.0	0.0	1057	93016
0.388569	36.78009533882141	88	-124.87221848	35.7686192571	-53.2048509424	-179.071989853	151.0	0.0	1057	94073
0.37625	37.13001608848572	89	-121.247446382	23.5673085015	-99.0446060199	-163.899282037	151.0	0.0	1057	95130
0.361779	37.48385500907898	90	-103.366424519	25.5169497904	-48.2256991503	-137.354138884	151.0	0.0	1057	96187
0.536723	37.845094442367554	91	-113.236489617	17.3630898686	-79.9809822229	-134.813024313	151.0	0.0	1057	97244
0.232606	38.20462369918823	92	-116.386761648	16.8634808764	-98.5390331619	-152.063330446	151.0	0.0	1057	98301
0.550805	38.56942534446716	93	-149.461802604	21.0227063719	-115.652882683	-186.885026418	151.0	0.0	1057	99358
0.395453	39.03757691383362	94	-147.616842923	18.5344195214	-126.713401701	-181.978269266	151.0	0.0	1057	100415
0.0995929	39.47814583778381	95	-130.914260939	24.2704888166	-107.884467604	-182.860106662	151.0	0.0	1057	101472
0.457466	39.864853382110596	96	-136.007442562	19.6785562594	-114.324457369	-177.680809943	151.0	0.0	1057	102529
0.343722	40.2222261428833	97	-135.038741733	36.2079529194	-82.7028269149	-189.186921828	151.0	0.0	1057	103586
0.214854	40.570372581481934	98	-142.593577684	30.1103606287	-92.1616324246	-182.464310958	151.0	0.0	1057	104643
0.356492	40.91735219955444	99	-135.128135035	41.049961299	-56.2807520833	-181.870528494	151.0	0.0	1057	105700
