LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.138728	5.5679686069488525	0	-79.9175570271	45.2735297445	-26.1313012397	-154.276544951	151.0	0.0	1057	1057
0.1117	5.9998016357421875	1	-98.0417292381	52.3523351556	-51.7666201624	-209.244818118	151.0	0.0	1057	2114
0.0733689	6.360512971878052	2	-119.834643926	54.1751892985	-12.8625716923	-185.546749946	151.0	0.0	1057	3171
0.0595026	6.724199533462524	3	-84.8548406308	37.1745278203	-23.7103507812	-144.099000477	151.0	0.0	1057	4228
0.067345	7.081717252731323	4	-114.322121823	35.3520561114	-64.2617162693	-169.652457698	151.0	0.0	1057	5285
0.0384813	7.445735454559326	5	-116.34538609	26.1269600102	-72.5027804665	-145.131190866	151.0	0.0	1057	6342
0.0376834	7.806471347808838	6	-112.561356329	30.6741546205	-47.126293866	-146.518980642	151.0	0.0	1057	7399
0.0366754	8.16676926612854	7	-102.263936479	26.932887	-60.1038824835	-148.692810992	151.0	0.0	1057	8456
0.0283203	8.523743867874146	8	-108.243796702	44.8340242571	-43.6376603248	-170.946266676	151.0	0.0	1057	9513
0.0475401	8.883953094482422	9	-120.501342213	33.1269303791	-63.8345386685	-173.05165182	151.0	0.0	1057	10570
0.0248456	9.249384641647339	10	-122.424718271	44.3709132523	-48.9621837227	-176.75559862	151.0	0.0	1057	11627
0.0382278	9.612220287322998	11	-112.896409166	36.8782544197	-71.0012821021	-181.249283415	151.0	0.0	1057	12684
0.0575739	9.98053789138794	12	-98.3783823387	37.8678742429	-50.8947913167	-170.787828126	151.0	0.0	1057	13741
0.0240482	10.336541891098022	13	-112.967036092	21.0339911717	-89.3343649001	-150.284878951	151.0	0.0	1057	14798
0.0235869	10.70041298866272	14	-91.0282085252	51.0181795463	-13.7058570181	-171.014587943	151.0	0.0	1057	15855
0.0270574	11.062581300735474	15	-91.7728250487	22.7587147235	-56.1845455762	-126.604696483	151.0	0.0	1057	16912
0.0285386	11.425085306167603	16	-57.8707092178	43.4158526777	-7.57940594069	-142.390921857	151.0	0.0	1057	17969
0.0310103	11.789956331253052	17	-86.1947127778	39.8945146857	-31.1697257991	-141.54681911	151.0	0.0	1057	19026
0.0222289	12.146376132965088	18	-85.3493199818	36.6718531337	-36.7165528492	-139.41572301	151.0	0.0	1057	20083
0.0109117	12.508282899856567	19	-97.6673619041	37.7336057637	-47.4162806172	-156.134674428	151.0	0.0	1057	21140
0.0157309	12.86489987373352	20	-87.3254646494	37.5632011363	-36.4644202836	-147.633904751	151.0	0.0	1057	22197
0.0191102	13.225961923599243	21	-68.7239138575	25.9183178578	-36.1352242367	-102.190745386	151.0	0.0	1057	23254
0.0318581	13.59162163734436	22	-74.0160894223	48.8344542513	6.18381604442	-136.255710126	151.0	0.0	1057	24311
0.0169643	13.950500726699829	23	-79.4436537476	30.1393217869	-36.8082919875	-138.024584228	151.0	0.0	1057	25368
0.0221783	14.316761016845703	24	-111.365797378	38.1630239993	-63.9744481312	-196.139955186	151.0	0.0	1057	26425
0.020708	14.675422430038452	25	-102.88390872	35.4929070039	-23.9221768869	-138.617864729	151.0	0.0	1057	27482
0.015897	15.038073539733887	26	-71.5973220775	42.9575039675	-21.0629843917	-128.292525533	151.0	0.0	1057	28539
0.0265554	15.404324293136597	27	-87.1638819988	18.087172373	-55.8566535683	-110.362839492	151.0	0.0	1057	29596
0.0206384	15.766156196594238	28	-53.0894077227	46.7802072229	43.9141711923	-115.040249916	151.0	0.0	1057	30653
0.0236607	16.13174057006836	29	-81.2026081583	42.399185085	-25.4368036842	-162.642859185	151.0	0.0	1057	31710
0.0363912	16.494871616363525	30	-75.4088363537	34.3359689633	-9.55270906326	-132.903861855	151.0	0.0	1057	32767
0.0162167	16.85703420639038	31	-82.302677083	23.1050535687	-43.4094351485	-120.574403296	151.0	0.0	1057	33824
0.0134602	17.22948408126831	32	-86.9756719642	16.9049143819	-63.3912408761	-110.651224294	151.0	0.0	1057	34881
0.0147524	17.59363031387329	33	-105.637327745	27.4513093772	-62.9547777019	-143.46904498	151.0	0.0	1057	35938
0.0258625	17.958046913146973	34	-83.1449610888	31.2805340513	-43.2121186599	-125.50327687	151.0	0.0	1057	36995
0.0198416	18.320744276046753	35	-66.547232775	22.5807291467	-38.3450958287	-107.472030558	151.0	0.0	1057	38052
0.0251341	18.67818307876587	36	-74.0337339181	31.0153093036	-33.9195438322	-142.102138649	151.0	0.0	1057	39109
0.0105693	19.035298347473145	37	-52.7418576577	20.8351066296	-27.9479838894	-91.328223091	151.0	0.0	1057	40166
0.0208794	19.400688409805298	38	-68.7260812973	30.0280045028	-37.8136066865	-123.049256431	151.0	0.0	1057	41223
0.0223098	19.762524843215942	39	-59.5225026859	23.9415604751	-29.5785815498	-92.2467722936	151.0	0.0	1057	42280
0.0158311	20.124451637268066	40	-68.0879570129	28.7260453408	-35.2189692114	-132.739459382	151.0	0.0	1057	43337
0.023916	20.482146501541138	41	-80.5284426096	36.1647713653	-38.5426547705	-136.926848227	151.0	0.0	1057	44394
0.0106294	20.857038021087646	42	-71.2425608235	33.5956656216	-39.5062557741	-142.051737363	151.0	0.0	1057	45451
0.0213065	21.222946643829346	43	-39.9412155378	17.8512107249	-7.58309735567	-72.322730012	151.0	0.0	1057	46508
0.0161458	21.58216691017151	44	-65.396872406	38.7007984968	-28.251805647	-129.339173414	151.0	0.0	1057	47565
0.0252463	21.942572832107544	45	-51.0785896984	21.1148709973	-5.13598911282	-74.7459097957	151.0	0.0	1057	48622
0.0241679	22.301131010055542	46	-53.6158357714	21.2753350153	-21.844175596	-88.2308004727	151.0	0.0	1057	49679
0.0233818	22.663740634918213	47	-40.9440978797	8.92273478498	-32.915204215	-58.8720530847	151.0	0.0	1057	50736
0.0305124	23.031592845916748	48	-31.5335096256	28.5110746063	21.9823927569	-76.0704450442	151.0	0.0	1057	51793
0.0223281	23.395206451416016	49	-43.2247429653	27.0948238194	-4.14408601379	-87.9925000857	151.0	0.0	1057	52850
0.0302467	23.762378931045532	50	-55.6962657059	36.5441302681	-20.0557968436	-138.257663408	151.0	0.0	1057	53907
0.0414954	24.124374389648438	51	-48.2250327174	39.002035667	13.5465619954	-94.3884205185	151.0	0.0	1057	54964
0.0200723	24.48817491531372	52	-37.7774822053	32.4439526686	15.4186082878	-71.7850730008	151.0	0.0	1057	56021
0.0199196	24.85050344467163	53	-51.0687305087	32.3092593097	-5.08651894884	-99.9058192881	151.0	0.0	1057	57078
0.0041997	25.21755051612854	54	-43.3857584515	22.0642326304	-13.4046750703	-72.8480459878	151.0	0.0	1057	58135
0.00338997	25.580193758010864	55	-31.6582484242	11.5862386526	-22.2320405044	-57.4388791358	151.0	0.0	1057	59192
0.00916085	25.954037189483643	56	-48.4788228211	39.3540970204	-15.1953227131	-134.634453377	151.0	0.0	1057	60249
0.00729599	26.314743041992188	57	-47.1004964444	37.4872160414	-1.30959914972	-114.093106777	151.0	0.0	1057	61306
0.0198685	26.682010173797607	58	-56.1452440852	26.3757626607	-18.7438831265	-101.239892967	151.0	0.0	1057	62363
0.0145553	27.041824340820312	59	-41.01084402	23.3944462252	3.65081086138	-74.4159157176	151.0	0.0	1057	63420
0.0214709	27.414700746536255	60	-34.8157880552	27.3384956282	0.217256835554	-89.4946804754	151.0	0.0	1057	64477
0.0177533	27.7769136428833	61	-40.7204105072	24.8873073616	0.15911420933	-76.2588074769	151.0	0.0	1057	65534
