LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.192087	6.524808883666992	0	-218.184332745	60.0991136792	-123.816849035	-308.248381799	151.0	0.0	1057	1057
0.0901615	6.959754467010498	1	-199.83705399	46.8311205362	-152.795171439	-265.603285162	151.0	0.0	1057	2114
0.0404403	7.323078393936157	2	-238.930349139	29.7050805881	-185.286303517	-280.762204716	151.0	0.0	1057	3171
0.0413535	7.6911420822143555	3	-182.401149286	32.1816986567	-130.22046998	-239.754248047	151.0	0.0	1057	4228
0.0427464	8.061363458633423	4	-197.370076088	39.3009945275	-146.148063529	-259.962928084	151.0	0.0	1057	5285
0.0251199	8.426442861557007	5	-197.347664534	36.0527461185	-137.014259323	-247.515279887	151.0	0.0	1057	6342
0.0292642	8.806349754333496	6	-176.854237576	17.6584039429	-149.928910173	-199.26036458	151.0	0.0	1057	7399
0.0286435	9.212212085723877	7	-183.664599018	37.0895262918	-119.999295207	-238.368424162	151.0	0.0	1057	8456
0.0234716	9.602756023406982	8	-176.968498982	31.8345839311	-132.105897563	-235.274230785	151.0	0.0	1057	9513
0.02083	9.973839282989502	9	-189.093047439	47.0184450997	-139.971923443	-270.759563714	151.0	0.0	1057	10570
0.0268002	10.357877492904663	10	-171.226172473	22.0598451018	-135.05475548	-203.817881438	151.0	0.0	1057	11627
0.0199765	10.732347965240479	11	-165.800112246	29.6512864596	-121.982309922	-218.302543297	151.0	0.0	1057	12684
0.0159261	11.193482398986816	12	-198.373248567	20.2754387544	-173.47154867	-233.207247782	151.0	0.0	1057	13741
0.0241334	11.602325677871704	13	-179.114189708	48.709847474	-97.5239981979	-229.263657391	151.0	0.0	1057	14798
0.0231728	11.988721370697021	14	-165.456020701	31.6687869433	-109.19014779	-210.309025849	151.0	0.0	1057	15855
0.0191404	12.365695714950562	15	-167.760649353	64.6222216713	-76.9784431228	-255.016671709	151.0	0.0	1057	16912
0.0241961	12.737176179885864	16	-157.194211905	41.5980704069	-82.1649690821	-218.962742943	151.0	0.0	1057	17969
0.0217137	13.154367208480835	17	-173.73477964	35.180127931	-112.260679076	-210.598365265	151.0	0.0	1057	19026
0.0229658	13.577838659286499	18	-175.793669189	27.734338204	-146.012697008	-229.728173816	151.0	0.0	1057	20083
0.0207474	13.959404945373535	19	-154.921587164	45.9548139803	-97.0597957993	-224.91081999	151.0	0.0	1057	21140
0.0135375	14.337328433990479	20	-137.081644754	14.0142415101	-119.141911926	-163.99812208	151.0	0.0	1057	22197
0.0150368	14.705472230911255	21	-143.912580144	36.5924489205	-98.6044339173	-200.90443094	151.0	0.0	1057	23254
0.0158994	15.08893370628357	22	-152.187848341	23.3539594717	-125.400903363	-195.96287669	151.0	0.0	1057	24311
0.010581	15.457644701004028	23	-168.283509493	43.4288596776	-140.35600953	-272.472575828	151.0	0.0	1057	25368
0.0153567	15.831709146499634	24	-136.646195037	23.1510201915	-116.043452609	-189.882120091	151.0	0.0	1057	26425
0.00759654	16.199248790740967	25	-146.939332837	20.1041972312	-111.280105757	-179.057598036	151.0	0.0	1057	27482
0.0136737	16.5642991065979	26	-119.892757619	41.6242257593	-58.9067949898	-183.31049445	151.0	0.0	1057	28539
0.0121521	16.929542779922485	27	-144.941589184	48.4238949742	-59.0198333361	-233.354213616	151.0	0.0	1057	29596
0.0170151	17.297114610671997	28	-151.956181583	47.1038560528	-111.798834882	-260.700328903	151.0	0.0	1057	30653
0.0184682	17.666033029556274	29	-123.60551326	36.2630514803	-69.7773734753	-166.608317494	151.0	0.0	1057	31710
0.0111522	18.034911632537842	30	-136.784307146	21.1158175648	-105.079295037	-176.474553365	151.0	0.0	1057	32767
0.0115071	18.405452966690063	31	-131.665120389	21.339806273	-106.280127914	-167.003299462	151.0	0.0	1057	33824
0.0171409	18.774986267089844	32	-118.242081376	19.2184653401	-82.0661650752	-145.361886738	151.0	0.0	1057	34881
0.0163354	19.14509892463684	33	-130.431757169	16.3009429076	-100.052119152	-149.794046899	151.0	0.0	1057	35938
0.0195278	19.514892101287842	34	-106.719027497	22.8607525719	-75.7846968763	-142.831484433	151.0	0.0	1057	36995
0.00841683	19.880611419677734	35	-123.568594226	30.0618177075	-77.0317660341	-157.641906862	151.0	0.0	1057	38052
0.0108345	20.252642154693604	36	-127.739537344	21.0990518992	-101.24863873	-156.307313524	151.0	0.0	1057	39109
0.0112523	20.622999668121338	37	-107.969104738	44.0692503588	-18.6713923536	-160.564333324	151.0	0.0	1057	40166
0.00767672	21.00791573524475	38	-119.59073072	24.5405172597	-87.1871354073	-145.741285814	151.0	0.0	1057	41223
0.00978543	21.3846173286438	39	-101.892816591	36.0124007537	-48.3123108709	-170.466226212	151.0	0.0	1057	42280
0.0184973	21.754961013793945	40	-121.841429267	28.6698138838	-77.6363766884	-169.13696081	151.0	0.0	1057	43337
0.0148024	22.124972820281982	41	-125.223412879	28.7520762021	-67.0762328117	-168.752140055	151.0	0.0	1057	44394
0.0148851	22.49608087539673	42	-130.111352733	51.0606153268	-84.1203917255	-244.025410942	151.0	0.0	1057	45451
0.0122661	22.86404299736023	43	-108.487293213	19.0397246147	-81.5445156742	-136.298099681	151.0	0.0	1057	46508
0.00828639	23.224416732788086	44	-96.8739996117	10.4904336857	-82.7973572336	-119.15123473	151.0	0.0	1057	47565
