LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.156345	24.443801641464233	0	-270.807132938	51.144434011	-124.247270511	-408.722559886	151.0	0.0	50132	50132
0.0745756	41.68954515457153	1	-208.174620004	42.8050799888	-96.1271702736	-322.408903503	151.0	0.0	50132	100264
0.0524621	58.94227194786072	2	-163.86329966	39.0648217774	-33.541631339	-297.024382203	151.0	0.0	50132	150396
0.0376806	76.17933058738708	3	-143.120324724	38.1613540631	-39.9368740615	-269.867959189	151.0	0.0	50132	200528
0.0194735	93.40901017189026	4	-131.582923395	37.4306005119	-41.4770662667	-262.189696779	151.0	0.0	50132	250660
0.019406	110.68946814537048	5	-123.347786916	36.2345390801	-16.1396148984	-245.603064289	151.0	0.0	50132	300792
0.0184991	127.94105243682861	6	-112.889513591	34.2592915777	-24.9485828047	-256.295959957	151.0	0.0	50132	350924
0.0212448	145.12072658538818	7	-108.85053352	34.216731248	-23.4573843867	-223.650869786	151.0	0.0	50132	401056
0.0176691	162.28984999656677	8	-100.777447103	33.0336073048	35.1413112999	-198.531529377	151.0	0.0	50132	451188
0.0136455	179.48703360557556	9	-96.4646472196	33.4928776315	7.01913793564	-207.898906884	151.0	0.0	50132	501320
0.0215281	196.7747299671173	10	-91.0654907222	34.8100614151	27.756712229	-188.680406673	151.0	0.0	50132	551452
0.0223921	214.01161670684814	11	-84.0375624954	35.4480411913	67.3296271314	-189.716663059	151.0	0.0	50132	601584
0.0215174	231.31497406959534	12	-76.0735008025	32.7773397301	20.2344331449	-186.426370003	151.0	0.0	50132	651716
0.0169964	248.65626192092896	13	-69.2143664409	31.9517135993	20.7611302791	-190.809494716	151.0	0.0	50132	701848
0.0142232	265.9935550689697	14	-57.9622883197	29.9415468864	26.8067527548	-170.49599844	151.0	0.0	50132	751980
0.0127593	283.34787821769714	15	-57.0049868941	29.7788677367	42.0555399094	-150.776807077	151.0	0.0	50132	802112
0.01255	300.75698709487915	16	-52.4070161588	27.7440190479	33.0667652876	-156.973353495	151.0	0.0	50132	852244
0.0157212	318.07285737991333	17	-50.0178988864	26.7919215559	26.1940825337	-147.869435494	151.0	0.0	50132	902376
