LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.109649	5.75141167640686	0	-144.8360373	22.7141628504	-114.383210492	-182.760401958	151.0	0.0	1057	1057
0.0681543	6.118463754653931	1	-155.78701466	43.4687012967	-86.4149300908	-216.81404251	151.0	0.0	1057	2114
0.0528419	6.46503758430481	2	-130.977132207	28.8463158665	-88.8241259274	-180.503878068	151.0	0.0	1057	3171
0.0448156	6.806025266647339	3	-156.257452981	36.7247303208	-103.025621141	-217.629492595	151.0	0.0	1057	4228
0.0302416	7.15384840965271	4	-104.713111601	30.4495172141	-59.7354968364	-147.421016632	151.0	0.0	1057	5285
0.0341447	7.496576309204102	5	-102.692809927	21.5951147068	-65.3976138048	-128.2573272	151.0	0.0	1057	6342
0.0269476	7.84355902671814	6	-102.397096301	43.2679586253	-30.7269867588	-154.019201471	151.0	0.0	1057	7399
0.0310917	8.191769123077393	7	-96.225101664	24.6259707015	-68.6486051698	-132.286329685	151.0	0.0	1057	8456
0.018818	8.536978244781494	8	-114.26929108	41.6155707355	-55.3715621642	-180.211150106	151.0	0.0	1057	9513
0.0161995	8.881819248199463	9	-103.189388591	38.0893871585	-27.3999835176	-148.379551062	151.0	0.0	1057	10570
0.0319843	9.228992462158203	10	-103.81985969	39.2927393416	-46.8821082951	-158.381992573	151.0	0.0	1057	11627
0.0193445	9.585567474365234	11	-91.2307369755	39.9708004974	-41.6679338846	-170.548829643	151.0	0.0	1057	12684
0.0227481	9.941691160202026	12	-78.5038504863	27.1494957675	-47.7743818325	-119.365506681	151.0	0.0	1057	13741
0.0121874	10.294437408447266	13	-100.351891621	19.2837281019	-79.6794282409	-128.330154303	151.0	0.0	1057	14798
0.018314	10.633527755737305	14	-86.9547374437	36.0117514693	-30.5086993891	-139.416019256	151.0	0.0	1057	15855
0.00871721	10.979099750518799	15	-103.216345036	33.9050862815	-58.7059477052	-151.135726856	151.0	0.0	1057	16912
0.0175148	11.325056791305542	16	-96.5365579324	31.4990081107	-57.7696379834	-144.655016717	151.0	0.0	1057	17969
0.0107485	11.669280767440796	17	-101.319121046	24.7866920238	-66.5906897844	-146.477845759	151.0	0.0	1057	19026
0.0185273	12.020692825317383	18	-84.3529797891	36.1034856554	-50.442020533	-161.683122633	151.0	0.0	1057	20083
0.0127551	12.373160362243652	19	-100.963086956	38.6634911668	-42.5218964983	-163.753559932	151.0	0.0	1057	21140
0.0115254	12.732635021209717	20	-92.9369913207	21.0847084626	-56.6017806043	-130.497018376	151.0	0.0	1057	22197
0.0133364	13.109625101089478	21	-92.3471166491	35.2566576161	-55.2334992391	-142.015950833	151.0	0.0	1057	23254
0.00998829	13.457176208496094	22	-96.9258834575	31.9886786469	-49.5528824692	-155.609872656	151.0	0.0	1057	24311
0.0184919	13.804130554199219	23	-85.4134500437	21.0441468213	-48.3445296072	-115.061917416	151.0	0.0	1057	25368
0.0191401	14.154765605926514	24	-81.7227956557	29.8108424765	-28.8576177899	-115.512164375	151.0	0.0	1057	26425
0.0215092	14.504971742630005	25	-86.3567693067	20.9399525249	-64.4133332069	-122.432692782	151.0	0.0	1057	27482
0.0111066	14.854721069335938	26	-74.1342169993	22.4480218724	-55.8881504978	-109.982091176	151.0	0.0	1057	28539
0.0197385	15.198376417160034	27	-76.7955586508	18.0379151969	-56.2360048831	-110.772388766	151.0	0.0	1057	29596
0.021188	15.543319940567017	28	-59.8991908191	26.3053958748	-19.1177752376	-93.1733815094	151.0	0.0	1057	30653
0.0250556	15.893332958221436	29	-96.9813253003	39.2047671096	-26.4483325686	-153.706441784	151.0	0.0	1057	31710
0.00695984	16.24265432357788	30	-79.6063943443	47.7411910578	-29.2032070822	-177.724506356	151.0	0.0	1057	32767
0.00870518	16.591155767440796	31	-65.5596911798	40.1531672309	-19.7640483909	-143.619419424	151.0	0.0	1057	33824
0.0110284	16.943944692611694	32	-58.0401497842	26.653616909	-19.0231267946	-99.6522770721	151.0	0.0	1057	34881
0.0155504	17.31781554222107	33	-76.8434543436	27.5420955079	-52.8332183673	-133.91783375	151.0	0.0	1057	35938
0.013028	17.71234965324402	34	-67.4647576099	38.6528551962	-0.455959637669	-124.315337576	151.0	0.0	1057	36995
0.0147995	18.063764095306396	35	-83.1590672361	24.6235833223	-58.8351650004	-128.766701005	151.0	0.0	1057	38052
0.0124607	18.412205934524536	36	-56.7651025615	19.328214754	-31.4086560668	-91.0963477496	151.0	0.0	1057	39109
0.0156843	18.76851224899292	37	-79.3287183432	30.1825736747	-43.8468841983	-142.105414006	151.0	0.0	1057	40166
0.0065345	19.11774754524231	38	-80.0056556182	37.5846546177	-20.1784501034	-136.908009855	151.0	0.0	1057	41223
0.014979	19.46644353866577	39	-52.2496642931	23.68248101	-2.19194639514	-78.6796617979	151.0	0.0	1057	42280
0.0191663	19.82796001434326	40	-48.2356287158	13.8313913881	-25.6635366445	-73.0354106235	151.0	0.0	1057	43337
0.00857943	20.178810834884644	41	-59.1302690368	31.0744992954	-0.90127382855	-95.0511141176	151.0	0.0	1057	44394
0.0122223	20.522865533828735	42	-54.4252639796	14.6410473753	-31.4857404741	-83.1994422452	151.0	0.0	1057	45451
0.013286	20.868969917297363	43	-64.5472612509	31.0493946149	1.66935795547	-108.540697727	151.0	0.0	1057	46508
0.0156727	21.212770223617554	44	-99.2522320443	18.9863853783	-73.6663239282	-120.911970024	151.0	0.0	1057	47565
0.0106761	21.55398917198181	45	-64.8427957377	35.6555856628	-7.23080711046	-113.67787965	151.0	0.0	1057	48622
0.0160929	21.90088391304016	46	-67.6001604513	33.2821971966	-26.5706496138	-137.564188611	151.0	0.0	1057	49679
0.00987725	22.243536233901978	47	-56.0053387623	32.3872824828	4.9789464534	-91.4265820755	151.0	0.0	1057	50736
0.00982197	22.58968758583069	48	-71.3134490601	35.1702527057	-9.97109659802	-119.730436062	151.0	0.0	1057	51793
0.0137262	22.94263744354248	49	-72.6741188073	39.2056688815	-13.8030125237	-126.757557881	151.0	0.0	1057	52850
0.0115431	23.292550086975098	50	-50.3846627491	28.2156294686	-5.43149935131	-89.8207551902	151.0	0.0	1057	53907
0.017102	23.637207984924316	51	-68.5346903376	35.4248442293	-25.4650504266	-134.130920962	151.0	0.0	1057	54964
0.0113049	23.97572946548462	52	-80.3908870575	26.9770948752	-42.7169474479	-125.086562527	151.0	0.0	1057	56021
0.00980234	24.322646856307983	53	-72.2784889438	40.6246454448	-34.8429094123	-153.551058174	151.0	0.0	1057	57078
0.0197551	24.66676902770996	54	-62.5298500813	23.37788171	-21.841723003	-93.7582846507	151.0	0.0	1057	58135
0.0135115	25.00945496559143	55	-49.1048247472	13.5008473237	-32.6918066426	-73.9728712736	151.0	0.0	1057	59192
0.0144318	25.35426425933838	56	-66.2861741654	30.674760636	-10.5621264796	-113.124763273	151.0	0.0	1057	60249
0.00907133	25.69963574409485	57	-62.0360766897	16.4813365512	-44.8090155919	-87.4803100979	151.0	0.0	1057	61306
0.0118043	26.05004358291626	58	-54.5423031359	12.5138638363	-37.973042942	-71.0914722691	151.0	0.0	1057	62363
0.0143087	26.406798601150513	59	-83.3108584818	34.8051681227	-37.6536539486	-149.629837593	151.0	0.0	1057	63420
0.0171804	26.76634979248047	60	-69.9569344956	32.0354691467	-26.2308454708	-120.191662044	151.0	0.0	1057	64477
0.0134807	27.116079092025757	61	-50.4604234609	25.9133032599	-6.44167708264	-77.0959081887	151.0	0.0	1057	65534
0.0211788	27.458334922790527	62	-58.4264378188	23.9823864274	-26.1855532563	-93.5197256898	151.0	0.0	1057	66591
0.0166229	27.807214975357056	63	-48.4717287891	19.5323035279	-12.4752338239	-72.2128834683	151.0	0.0	1057	67648
0.0128265	28.16004204750061	64	-53.0239915752	24.7666972759	-15.4251719088	-86.9610011862	151.0	0.0	1057	68705
0.0135551	28.50900888442993	65	-51.0296893524	22.0730756433	-24.8754173565	-78.5097069946	151.0	0.0	1057	69762
0.010469	28.859583616256714	66	-46.8099440555	23.3906779616	2.40472781089	-75.0119330514	151.0	0.0	1057	70819
0.00911406	29.245845794677734	67	-48.0275269679	17.2602098167	-21.2748025331	-72.8423113821	151.0	0.0	1057	71876
0.0252598	29.59209680557251	68	-49.3662204529	19.6653334548	-11.7479222351	-77.029996354	151.0	0.0	1057	72933
0.0228514	29.940950632095337	69	-39.6145187896	25.9613037266	-10.2889891854	-79.3296029788	151.0	0.0	1057	73990
0.0156833	30.290024280548096	70	-55.2485551971	23.1797301131	-29.1857707165	-86.3950260331	151.0	0.0	1057	75047
0.0144983	30.636645078659058	71	-54.42316133	12.2959977159	-35.8804057802	-73.6051772175	151.0	0.0	1057	76104
0.0152628	30.990387678146362	72	-46.7482026744	17.0761248594	-18.2494801344	-63.5791694976	151.0	0.0	1057	77161
0.0123559	31.33923077583313	73	-54.6953588747	19.6014018909	-38.9967869709	-97.7733503562	151.0	0.0	1057	78218
0.0144091	31.686919927597046	74	-53.9642999493	33.3622335526	-18.6113311912	-117.259087197	151.0	0.0	1057	79275
0.0228186	32.0380494594574	75	-48.675862452	12.2209439734	-31.7630308182	-70.4943859213	151.0	0.0	1057	80332
0.0141196	32.38845181465149	76	-32.5319742923	27.3143078106	15.8833792666	-65.3610790776	151.0	0.0	1057	81389
0.00975332	32.73711967468262	77	-55.7021912901	18.0907581247	-17.1528864683	-76.8087429862	151.0	0.0	1057	82446
0.00600483	33.08584141731262	78	-48.5977121512	25.7561779745	-19.689294085	-100.483226259	151.0	0.0	1057	83503
0.0164452	33.44242215156555	79	-42.48567949	14.3280893396	-28.1872613852	-74.7143193309	151.0	0.0	1057	84560
0.0221372	33.79130744934082	80	-52.0644867123	24.9072451955	-24.7680574622	-109.78356806	151.0	0.0	1057	85617
0.0197194	34.1394476890564	81	-20.6120200008	29.7311943565	15.8228522005	-74.3555187496	151.0	0.0	1057	86674
0.0159184	34.51603579521179	82	-28.6340020869	30.1139413008	23.4272240459	-67.4172614526	151.0	0.0	1057	87731
0.0108491	34.875752449035645	83	-35.4064314472	15.7435536736	-13.8365593877	-58.8286035802	151.0	0.0	1057	88788
0.0202896	35.23854088783264	84	-14.6204905447	26.1396562734	20.8086941846	-65.1573559827	151.0	0.0	1057	89845
0.0107103	35.59019327163696	85	-21.4101881844	30.9210423399	33.0587030906	-76.5535444123	151.0	0.0	1057	90902
0.012552	35.935494899749756	86	-42.520447907	28.2266858489	2.80001473028	-82.5041966458	151.0	0.0	1057	91959
0.00827304	36.293190717697144	87	-13.0855727396	31.5949651455	31.6440618212	-59.5007434109	151.0	0.0	1057	93016
0.0104446	36.65676236152649	88	-35.6604756061	29.2057860046	-6.09510986475	-96.985936447	151.0	0.0	1057	94073
0.0124826	37.02060055732727	89	-46.2165242591	25.7104961297	-2.7444507413	-78.6819765311	151.0	0.0	1057	95130
0.0193146	37.36383676528931	90	-51.4512329149	14.6752370678	-31.6820201032	-70.9521920211	151.0	0.0	1057	96187
0.0117571	37.71387505531311	91	-50.2123412603	30.8346776205	-12.1136142703	-100.943830818	151.0	0.0	1057	97244
0.0171286	38.062071084976196	92	-58.8216889858	70.3107256192	-4.25780097115	-218.971870049	151.0	0.0	1057	98301
0.0118104	38.40857267379761	93	-21.1109682578	18.6216769776	11.7471610132	-47.6594657513	151.0	0.0	1057	99358
0.0155182	38.75238037109375	94	-67.5472120638	15.5863200414	-42.900652206	-92.3825204696	151.0	0.0	1057	100415
0.015076	39.09768748283386	95	-30.6429022787	34.5145593291	17.5753016338	-91.5210192238	151.0	0.0	1057	101472
0.00971726	39.44343185424805	96	-27.7211275403	26.1296809244	15.0586482264	-64.5571954437	151.0	0.0	1057	102529
0.0123454	39.783122539520264	97	-42.2039357088	21.4301185684	-9.07253988613	-66.8655795254	151.0	0.0	1057	103586
0.0156398	40.12993121147156	98	-44.0563173408	56.0764172391	45.4977019365	-121.018766309	151.0	0.0	1057	104643
0.0187272	40.470210313797	99	-52.2152638654	32.4937528161	-5.37140853946	-105.386015029	151.0	0.0	1057	105700
