LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.136098	5.910488605499268	0	-201.290632817	36.4563347344	-137.147853541	-264.417249592	151.0	0.0	1057	1057
0.0950304	6.307006597518921	1	-172.91930909	46.8128606858	-103.813075712	-236.958890137	151.0	0.0	1057	2114
0.0906986	6.64931583404541	2	-195.265286571	43.9492450961	-145.275900355	-277.746859698	151.0	0.0	1057	3171
0.0422459	7.0045154094696045	3	-152.952442106	40.2555070406	-78.6251740533	-216.761728723	151.0	0.0	1057	4228
0.0479244	7.359286069869995	4	-151.791989717	42.1772606666	-93.8298932249	-218.316297906	151.0	0.0	1057	5285
0.0389221	7.707493543624878	5	-171.553122041	44.076551966	-115.099835751	-237.207812155	151.0	0.0	1057	6342
0.0210886	8.0707426071167	6	-147.91868338	38.8826826567	-93.8083739334	-206.697480691	151.0	0.0	1057	7399
0.0400967	8.433655738830566	7	-149.093202255	23.8133434025	-111.196922337	-191.407097601	151.0	0.0	1057	8456
0.0293071	8.79033088684082	8	-177.723108712	28.8210702529	-135.863414578	-215.947979811	151.0	0.0	1057	9513
0.0423427	9.141136884689331	9	-148.286520479	35.7674431705	-106.088455636	-212.864222869	151.0	0.0	1057	10570
0.0183296	9.489204168319702	10	-140.736962074	40.7636019613	-77.4479658473	-200.730403425	151.0	0.0	1057	11627
0.035961	9.848926305770874	11	-159.619796539	38.3995795779	-109.27263447	-239.769521716	151.0	0.0	1057	12684
0.0131511	10.202012777328491	12	-122.443835366	49.0790184245	-68.8857296495	-229.869434642	151.0	0.0	1057	13741
0.0235481	10.552651405334473	13	-123.078652745	46.9983755698	-61.3640840216	-212.783611289	151.0	0.0	1057	14798
0.0132262	10.908222198486328	14	-137.086653649	22.078553894	-88.9040434156	-162.294315896	151.0	0.0	1057	15855
0.0304316	11.256517887115479	15	-125.35375134	26.7391012893	-90.3959939992	-167.981699833	151.0	0.0	1057	16912
0.0190751	11.597980976104736	16	-116.798626361	28.5432924745	-75.5235300257	-151.840879604	151.0	0.0	1057	17969
0.0264984	11.958132982254028	17	-90.9509634134	31.013206922	-21.4354545854	-120.329255672	151.0	0.0	1057	19026
0.0220308	12.321558713912964	18	-113.777588709	33.8692681705	-55.4583083084	-164.571724023	151.0	0.0	1057	20083
0.0198435	12.694671392440796	19	-127.991533495	35.9973924049	-83.0524517651	-188.94467802	151.0	0.0	1057	21140
0.0237366	13.07468032836914	20	-92.2037212642	35.1772445251	-47.5686799731	-145.529103213	151.0	0.0	1057	22197
0.0153098	13.424917697906494	21	-107.109073905	40.3564435405	-30.9521160105	-167.64452271	151.0	0.0	1057	23254
0.0194252	13.767601490020752	22	-95.5466853416	30.1093891819	-43.2181392699	-126.490157504	151.0	0.0	1057	24311
0.0149202	14.118473052978516	23	-94.0070676117	28.7008242274	-52.6715083253	-143.74782491	151.0	0.0	1057	25368
0.0189473	14.474892139434814	24	-107.468286177	31.0197827214	-45.0018300526	-151.047740752	151.0	0.0	1057	26425
0.0132357	14.824374914169312	25	-105.583439759	34.8008186406	-54.5209899397	-158.140715804	151.0	0.0	1057	27482
0.0108	15.174014329910278	26	-107.396834295	38.1867604179	-63.1033258423	-185.878296167	151.0	0.0	1057	28539
0.0187033	15.532503366470337	27	-86.1003112117	21.1350910165	-50.3243226984	-123.578286401	151.0	0.0	1057	29596
0.0136946	15.891545057296753	28	-111.063964688	22.689581215	-85.0396522754	-156.535443124	151.0	0.0	1057	30653
0.0179596	16.244776487350464	29	-99.7032841159	16.6487607381	-77.2023261572	-122.464938301	151.0	0.0	1057	31710
0.0189516	16.60492706298828	30	-116.134508763	33.6015330446	-51.3678605764	-155.039693051	151.0	0.0	1057	32767
0.01665	16.95571804046631	31	-111.663218112	40.7328516884	-68.8866451136	-190.522884067	151.0	0.0	1057	33824
0.0308049	17.317050457000732	32	-106.604952739	18.4360496705	-84.5412501311	-142.213066356	151.0	0.0	1057	34881
0.0118067	17.671237230300903	33	-80.1349219331	27.8619896517	-27.7796336483	-118.518291202	151.0	0.0	1057	35938
0.0200352	18.02332830429077	34	-82.2408854754	16.6416933307	-63.10972825	-105.193996322	151.0	0.0	1057	36995
0.0151725	18.37271523475647	35	-94.2872653382	18.2213012564	-60.8839408418	-116.838074414	151.0	0.0	1057	38052
0.0158487	18.724263906478882	36	-73.4197192268	9.03615243194	-59.2525013566	-85.416200128	151.0	0.0	1057	39109
0.0140475	19.080042839050293	37	-92.8900419554	31.6711606148	-48.3725400928	-142.33509125	151.0	0.0	1057	40166
0.0207096	19.440527200698853	38	-91.125863424	27.4749633268	-41.6125119668	-125.786406538	151.0	0.0	1057	41223
0.0263303	19.793641567230225	39	-108.441512862	41.357644822	-60.17360495	-186.294700984	151.0	0.0	1057	42280
0.0152665	20.145175457000732	40	-98.3754511296	24.9977610777	-50.1407358682	-138.863870182	151.0	0.0	1057	43337
0.01667	20.507503032684326	41	-79.2986383288	22.1294792047	-38.8210265411	-118.436621298	151.0	0.0	1057	44394
0.0190173	20.86464262008667	42	-90.8763467726	20.7138953238	-61.3606735628	-116.148711006	151.0	0.0	1057	45451
0.0204355	21.216649770736694	43	-121.019365333	33.5365436366	-65.9899677111	-164.723095078	151.0	0.0	1057	46508
0.0143585	21.58051872253418	44	-86.2759989421	28.4339838641	-57.7010739243	-146.987786976	151.0	0.0	1057	47565
0.0146927	21.94748306274414	45	-109.03805477	52.0089805758	-45.8803607572	-224.295299747	151.0	0.0	1057	48622
0.021567	22.30285096168518	46	-96.0516889333	37.0060734477	-33.9279599832	-158.246465914	151.0	0.0	1057	49679
0.018815	22.66155481338501	47	-64.0139833958	17.1051341599	-37.94101923	-87.6247070985	151.0	0.0	1057	50736
0.0130169	23.036289930343628	48	-96.8437478695	43.330211782	-52.2275428461	-177.190943063	151.0	0.0	1057	51793
0.0203117	23.38280415534973	49	-85.1584336254	16.3195745659	-60.8013604967	-112.907366211	151.0	0.0	1057	52850
0.0209679	23.754867553710938	50	-75.2890641856	17.1537372165	-38.6022776325	-93.9373774349	151.0	0.0	1057	53907
0.0243654	24.17012906074524	51	-90.7135320897	18.6329771186	-57.1064287141	-116.990495313	151.0	0.0	1057	54964
0.0131793	24.527327299118042	52	-90.3467411561	13.1231234251	-66.3142936396	-109.212608089	151.0	0.0	1057	56021
0.0107529	24.882874488830566	53	-68.0795004779	32.2415165161	-42.1499140228	-144.622912386	151.0	0.0	1057	57078
0.0164505	25.233795881271362	54	-69.277492875	17.6076920071	-32.4752044959	-88.0361943572	151.0	0.0	1057	58135
0.0215783	25.586854696273804	55	-82.9973539247	36.033263093	-34.1582130342	-155.649263347	151.0	0.0	1057	59192
0.0237881	25.9610116481781	56	-76.6841386451	32.7693684038	-43.4323907419	-144.32560817	151.0	0.0	1057	60249
0.0119302	26.3211932182312	57	-84.5464296851	28.3143671891	-53.015909408	-133.264702707	151.0	0.0	1057	61306
0.0199583	26.68129873275757	58	-86.5594658284	27.3405692373	-60.1157715976	-144.721949051	151.0	0.0	1057	62363
0.0212792	27.046770095825195	59	-63.2830895578	30.6128104106	-27.0507049453	-110.486954774	151.0	0.0	1057	63420
0.0161359	27.40379047393799	60	-92.9159175692	40.2649898561	-46.3163421789	-142.378790914	151.0	0.0	1057	64477
0.0130859	27.764885425567627	61	-62.7341891764	40.0957727951	-24.0824407282	-150.562190997	151.0	0.0	1057	65534
0.0378858	28.125350952148438	62	-61.1212021799	14.4272082878	-46.7080125204	-88.5423150421	151.0	0.0	1057	66591
0.0385799	28.504530668258667	63	-50.7356616492	41.537018464	4.79375533014	-140.956735023	151.0	0.0	1057	67648
0.0103368	28.856926918029785	64	-42.5565447999	8.16419154565	-34.4123960006	-54.7427811411	151.0	0.0	1057	68705
0.0125427	29.20963454246521	65	-69.8460432335	30.1723892813	-35.1871419911	-130.453237876	151.0	0.0	1057	69762
0.0169359	29.556822776794434	66	-82.4120893528	36.9172699528	-51.7587307717	-168.882399366	151.0	0.0	1057	70819
0.0228761	29.913514614105225	67	-53.9603209614	6.99663384571	-46.0556621662	-67.1229353954	151.0	0.0	1057	71876
0.0133364	30.268508911132812	68	-78.9498993086	37.9056205701	-8.4527002075	-140.496106897	151.0	0.0	1057	72933
0.0137176	30.61982774734497	69	-56.2167519313	21.6981393915	-20.0325026175	-85.8248938376	151.0	0.0	1057	73990
0.0176244	30.9686861038208	70	-53.1110569675	32.5637231982	1.98758573988	-95.9256468468	151.0	0.0	1057	75047
0.0120818	31.321427583694458	71	-62.131516924	26.4275859665	-25.581676741	-116.962423299	151.0	0.0	1057	76104
0.0151359	31.667762279510498	72	-47.5021338077	26.6818215468	-20.3296822745	-104.097710046	151.0	0.0	1057	77161
0.0261478	32.02618741989136	73	-57.1819851826	10.1757448258	-40.0156400482	-70.298293365	151.0	0.0	1057	78218
0.0117006	32.3727662563324	74	-62.9817640118	19.0921993799	-34.9017928316	-94.0690590472	151.0	0.0	1057	79275
0.0160926	32.723435163497925	75	-62.3435138242	22.2988797501	-28.1839550558	-105.473940858	151.0	0.0	1057	80332
0.0133857	33.06660556793213	76	-58.1263749937	23.6148017072	-30.6920835085	-100.118450758	151.0	0.0	1057	81389
0.0215348	33.42112684249878	77	-55.9321557328	28.9234069038	2.52858213871	-102.791152369	151.0	0.0	1057	82446
0.0174571	33.78029441833496	78	-53.0488291216	17.071406445	-28.2955564656	-81.8833759858	151.0	0.0	1057	83503
0.0171913	34.135690212249756	79	-73.0759044085	45.0586481381	-24.4504362787	-148.437434856	151.0	0.0	1057	84560
0.0189429	34.489046812057495	80	-45.950559995	28.1432236355	-5.66979433088	-100.061384237	151.0	0.0	1057	85617
0.0138693	34.83506488800049	81	-54.1788843716	22.8346697854	-11.3891960687	-91.0671481556	151.0	0.0	1057	86674
0.01499	35.18448805809021	82	-68.3123146714	27.5345533912	-25.013653216	-102.047411948	151.0	0.0	1057	87731
0.0101851	35.53731966018677	83	-56.5476342784	43.9736365872	1.73327345754	-126.334235145	151.0	0.0	1057	88788
0.0225609	35.89119029045105	84	-68.6619559965	16.9563830403	-48.8650707682	-98.8312731182	151.0	0.0	1057	89845
0.0190712	36.25129175186157	85	-40.0304720086	7.65044592761	-27.0761925375	-51.8878602812	151.0	0.0	1057	90902
0.014056	36.60544967651367	86	-69.1022886543	43.9281976185	-9.60130802331	-154.146747799	151.0	0.0	1057	91959
0.0285203	36.959521770477295	87	-68.7745426033	35.6789098684	-29.2510093697	-148.524307202	151.0	0.0	1057	93016
0.0194025	37.304181814193726	88	-55.4942563129	12.4896409445	-38.9389817145	-72.9760113191	151.0	0.0	1057	94073
0.0230748	37.66216230392456	89	-68.880687427	11.6627201464	-52.1616804229	-88.1148049419	151.0	0.0	1057	95130
0.0186764	38.01649594306946	90	-42.1942865894	19.2987551226	-6.77316902387	-61.758662338	151.0	0.0	1057	96187
0.0138796	38.36482334136963	91	-51.5189326148	10.8229516058	-35.8909854122	-69.4946716844	151.0	0.0	1057	97244
0.0111116	38.71928358078003	92	-28.2696978071	16.6852921426	4.49881405794	-46.263085206	151.0	0.0	1057	98301
0.0159293	39.072771310806274	93	-42.7268391366	14.1003426347	-21.1245431492	-63.3871848085	151.0	0.0	1057	99358
0.0221231	39.43114447593689	94	-56.0841507121	13.2354442249	-34.006673307	-74.8944226613	151.0	0.0	1057	100415
0.0175487	39.786842346191406	95	-57.782809661	31.9504182165	-11.5194629137	-124.843242971	151.0	0.0	1057	101472
0.0224666	40.147581815719604	96	-68.7909882308	31.3415416326	-10.8550045848	-114.024880596	151.0	0.0	1057	102529
0.0205389	40.50483560562134	97	-40.181907928	20.7342336766	-8.05041559079	-81.1084918207	151.0	0.0	1057	103586
0.0173642	40.862850189208984	98	-37.9871463732	32.7537974893	-4.11706349267	-102.992984729	151.0	0.0	1057	104643
0.0277137	41.21802258491516	99	-54.5858223087	32.2604854186	-20.6035614583	-123.346450633	151.0	0.0	1057	105700
