LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.107234	5.889650106430054	0	-314.938782731	48.6312468959	-260.445983042	-413.423791621	151.0	0.0	1057	1057
0.056912	6.297510385513306	1	-261.104740027	74.9608572474	-161.861307253	-355.370788689	151.0	0.0	1057	2114
0.0546492	6.651734352111816	2	-290.078056136	70.770790126	-184.718126589	-392.134168258	151.0	0.0	1057	3171
0.0505082	7.00603175163269	3	-247.170614319	27.7966244205	-205.455733232	-287.418651462	151.0	0.0	1057	4228
0.0448593	7.360884189605713	4	-258.484133489	44.6247249691	-194.622644231	-343.886003379	151.0	0.0	1057	5285
0.029763	7.7245588302612305	5	-263.928536515	20.7362858803	-229.857049164	-278.002868201	151.0	0.0	1057	6342
0.0274757	8.083606004714966	6	-271.488434664	41.7606957635	-222.958881999	-331.246549702	151.0	0.0	1057	7399
0.015719	8.46830153465271	7	-269.463515733	44.683149068	-195.377542435	-323.622038515	151.0	0.0	1057	8456
0.0234133	8.828474998474121	8	-242.909076843	55.3231706641	-149.457952733	-331.26745946	151.0	0.0	1057	9513
0.0243274	9.186834573745728	9	-256.28771358	29.6818268124	-218.478745915	-300.11754869	151.0	0.0	1057	10570
0.0248006	9.553998470306396	10	-218.776048124	42.9828513496	-159.55527159	-304.134184857	151.0	0.0	1057	11627
0.0118818	9.915537118911743	11	-263.740729266	43.0656026643	-199.897992434	-333.575151944	151.0	0.0	1057	12684
0.0185764	10.282304763793945	12	-214.292610864	44.9336311125	-164.523442485	-302.87073596	151.0	0.0	1057	13741
0.0196939	10.647243738174438	13	-215.660393125	40.1086239352	-154.979877997	-271.569743513	151.0	0.0	1057	14798
0.0135811	11.012471675872803	14	-197.023534792	39.9435604348	-138.63531937	-268.974577004	151.0	0.0	1057	15855
0.00661454	11.376141548156738	15	-209.473954526	50.472838071	-133.495502483	-301.093004947	151.0	0.0	1057	16912
0.0241309	11.737946271896362	16	-202.09970332	45.4277765589	-138.459421965	-264.705589899	151.0	0.0	1057	17969
0.012849	12.102472305297852	17	-234.078903855	34.3229711388	-181.026362639	-290.463887016	151.0	0.0	1057	19026
0.0126193	12.4685537815094	18	-190.024810609	24.1172947312	-149.01526041	-231.923377796	151.0	0.0	1057	20083
0.0154494	12.838595390319824	19	-194.394804389	27.1102868789	-155.829320333	-242.664465933	151.0	0.0	1057	21140
0.0155188	13.20526933670044	20	-214.266273757	49.9150800439	-136.806362778	-276.90015805	151.0	0.0	1057	22197
0.0176269	13.57162094116211	21	-205.503492142	27.4807168395	-183.232749565	-257.744044385	151.0	0.0	1057	23254
0.0298523	13.931464672088623	22	-221.752012621	41.8385042021	-150.808492365	-268.198676127	151.0	0.0	1057	24311
0.0147392	14.296765804290771	23	-167.394779524	29.012127217	-127.869015659	-210.697161131	151.0	0.0	1057	25368
0.0176374	14.656599998474121	24	-227.566743646	35.3574792931	-188.327882554	-277.552094841	151.0	0.0	1057	26425
0.010251	15.014539241790771	25	-236.905580568	43.0006086119	-153.510645739	-303.827889594	151.0	0.0	1057	27482
0.0165291	15.381521940231323	26	-203.927849644	42.0386103146	-153.117577032	-295.441080603	151.0	0.0	1057	28539
0.0126997	15.750250101089478	27	-191.235923242	31.9197474765	-146.842465606	-242.045519449	151.0	0.0	1057	29596
0.0153562	16.119096279144287	28	-175.727162715	15.802204568	-143.48772723	-193.32733117	151.0	0.0	1057	30653
0.00802676	16.482175588607788	29	-170.959453021	30.0058344201	-131.181474366	-224.537892535	151.0	0.0	1057	31710
0.0146423	16.8401460647583	30	-193.978546164	44.3987935348	-139.68579814	-281.198456217	151.0	0.0	1057	32767
0.00807068	17.19431185722351	31	-204.254127162	43.8697901987	-166.661819325	-305.991782867	151.0	0.0	1057	33824
0.0151623	17.561192989349365	32	-148.069872805	26.7896339344	-120.48976085	-187.776580764	151.0	0.0	1057	34881
0.0158062	17.925808668136597	33	-183.816203842	32.1743116347	-147.184655395	-253.452373397	151.0	0.0	1057	35938
0.0146497	18.289611101150513	34	-191.220740389	30.9733109302	-124.286444305	-228.19812401	151.0	0.0	1057	36995
0.0101763	18.651124477386475	35	-172.889044678	31.4683732282	-130.833713694	-229.668541816	151.0	0.0	1057	38052
