LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
11.7045	7.2061004638671875	0	8.5	2.13823148847	15.0	5.0	8.5	2.13823148847	1003	1003
1.55378	7.533061742782593	1	13.8356164384	1.81329714548	18.0	10.0	13.8356164384	1.81329714548	1010	2013
1.48607	7.796994924545288	2	48.8095238095	10.5677814387	75.0	39.0	48.8095238095	10.5677814387	1025	3038
0.725455	8.060013055801392	3	42.375	3.7728470682	48.0	36.0	42.375	3.7728470682	1017	4055
0.148527	8.33285903930664	4	20.44	2.53108672313	26.0	14.0	20.44	2.53108672313	1022	5077
0.663771	8.605287313461304	5	18.9622641509	2.51007226951	26.0	14.0	18.9622641509	2.51007226951	1005	6082
0.0121059	8.890965461730957	6	20.7142857143	4.43547848465	32.0	13.0	20.7142857143	4.43547848465	1015	7097
0.0104453	9.166807413101196	7	32.0625	11.2414898368	68.0	18.0	32.0625	11.2414898368	1026	8123
-0.0215238	9.42681360244751	8	52.7368421053	16.0782366972	96.0	24.0	52.7368421053	16.0782366972	1002	9125
0.020923	9.702447891235352	9	43.7826086957	12.4165265805	78.0	27.0	43.7826086957	12.4165265805	1007	10132
0.0449551	9.974973440170288	10	39.8846153846	10.5841933055	64.0	19.0	39.8846153846	10.5841933055	1037	11169
0.10827	10.244594812393188	11	44.3913043478	10.8857271149	70.0	27.0	44.3913043478	10.8857271149	1021	12190
0.0227503	10.522151231765747	12	44.3913043478	12.5515948421	66.0	24.0	44.3913043478	12.5515948421	1021	13211
0.023549	10.788429737091064	13	49.4761904762	11.0264575653	69.0	22.0	49.4761904762	11.0264575653	1039	14250
0.0232301	11.050525188446045	14	65.5	12.2780291578	94.0	53.0	65.5	12.2780291578	1048	15298
0.0150099	11.313689708709717	15	80.3076923077	20.0552491321	118.0	45.0	80.3076923077	20.0552491321	1044	16342
0.0216235	11.579869747161865	16	80.0769230769	18.4243214611	110.0	45.0	80.0769230769	18.4243214611	1041	17383
0.0390359	11.864346742630005	17	60.0	23.8992985376	103.0	21.0	60.0	23.8992985376	1020	18403
-0.00208596	12.144469261169434	18	43.0	21.0792156717	101.0	20.0	43.0	21.0792156717	1032	19435
0.0615025	12.426112413406372	19	40.0384615385	12.0654649221	71.0	21.0	40.0384615385	12.0654649221	1041	20476
0.0103757	12.696955919265747	20	61.0588235294	14.0313539166	106.0	44.0	61.0588235294	14.0313539166	1038	21514
0.04426	12.965277671813965	21	67.4	17.4195292703	110.0	41.0	67.4	17.4195292703	1011	22525
0.00831573	13.231522560119629	22	56.5	9.90650740114	73.0	40.0	56.5	9.90650740114	1017	23542
0.0325927	13.506860971450806	23	75.9285714286	16.3115396738	112.0	49.0	75.9285714286	16.3115396738	1063	24605
-0.000654949	13.768703937530518	24	68.9333333333	13.7572607092	110.0	53.0	68.9333333333	13.7572607092	1034	25639
0.00590716	14.037980318069458	25	75.0	21.9317121995	138.0	50.0	75.0	21.9317121995	1050	26689
0.102181	14.30500340461731	26	91.1818181818	17.2827721988	127.0	64.0	91.1818181818	17.2827721988	1003	27692
0.0234914	14.576403856277466	27	96.5454545455	14.8591180233	128.0	78.0	96.5454545455	14.8591180233	1062	28754
0.25584	14.85524320602417	28	104.2	20.4489608538	149.0	80.0	104.2	20.4489608538	1042	29796
0.14556	15.149534702301025	29	108.8	16.4972725018	128.0	88.0	108.8	16.4972725018	1088	30884
0.0165137	15.450135946273804	30	108.2	14.6	145.0	91.0	108.2	14.6	1082	31966
0.0684101	15.747101545333862	31	107.1	14.0602275942	133.0	86.0	107.1	14.0602275942	1071	33037
0.0557214	16.042152643203735	32	120.222222222	20.1482162308	162.0	91.0	120.222222222	20.1482162308	1082	34119
0.0972813	16.338342905044556	33	121.666666667	17.4865027315	154.0	101.0	121.666666667	17.4865027315	1095	35214
0.0243035	16.628013849258423	34	88.25	5.70270403698	100.0	78.0	88.25	5.70270403698	1059	36273
0.0733536	16.91515064239502	35	74.2857142857	4.09579176767	83.0	68.0	74.2857142857	4.09579176767	1040	37313
0.0995013	17.21030354499817	36	71.4666666667	4.1931160516	80.0	66.0	71.4666666667	4.1931160516	1072	38385
0.179694	17.54624843597412	37	69.8	3.52514775104	78.0	62.0	69.8	3.52514775104	1047	39432
1.29006	17.813350915908813	38	63.5625	2.14967294024	68.0	61.0	63.5625	2.14967294024	1017	40449
0.127353	18.087921857833862	39	21.5744680851	8.33282328302	51.0	6.0	21.5744680851	8.33282328302	1014	41463
1.42018	18.362076997756958	40	15.1666666667	9.53873019523	36.0	5.0	15.1666666667	9.53873019523	1001	42464
0.132812	18.630330562591553	41	35.8214285714	2.13898459603	41.0	32.0	35.8214285714	2.13898459603	1003	43467
-0.171086	18.909693241119385	42	35.4137931034	1.82921202895	39.0	31.0	35.4137931034	1.82921202895	1027	44494
-0.0264522	19.189926862716675	43	39.8076923077	1.92192273056	45.0	36.0	39.8076923077	1.92192273056	1035	45529
0.0042314	19.466017484664917	44	43.9565217391	3.81619274043	55.0	39.0	43.9565217391	3.81619274043	1011	46540
0.0344692	19.73353862762451	45	55.6111111111	10.6673900218	77.0	42.0	55.6111111111	10.6673900218	1001	47541
-0.0418813	20.021475076675415	46	64.2352941176	18.3352101378	112.0	41.0	64.2352941176	18.3352101378	1092	48633
0.0469023	20.29670810699463	47	56.1666666667	12.6589889012	88.0	41.0	56.1666666667	12.6589889012	1011	49644
-0.0124818	20.607692003250122	48	48.0454545455	11.7993731449	74.0	31.0	48.0454545455	11.7993731449	1057	50701
0.00798526	20.9602108001709	49	42.25	7.87533068089	67.0	35.0	42.25	7.87533068089	1014	51715
0.0113816	21.26477026939392	50	46.5909090909	11.0932374605	78.0	34.0	46.5909090909	11.0932374605	1025	52740
3.59723e-07	21.53436303138733	51	44.4782608696	7.49416912596	59.0	29.0	44.4782608696	7.49416912596	1023	53763
0.0405006	21.839683294296265	52	44.7391304348	12.7457320779	72.0	31.0	44.7391304348	12.7457320779	1029	54792
0.0149869	22.12533688545227	53	45.6956521739	10.8605179739	83.0	32.0	45.6956521739	10.8605179739	1051	55843
0.0525743	22.392416954040527	54	56.2777777778	18.2416055445	112.0	40.0	56.2777777778	18.2416055445	1013	56856
0.0822369	22.657915353775024	55	58.4444444444	10.1610488425	73.0	39.0	58.4444444444	10.1610488425	1052	57908
0.0744667	22.926461458206177	56	46.2727272727	8.25272306675	65.0	36.0	46.2727272727	8.25272306675	1018	58926
0.233698	23.185916423797607	57	38.8461538462	6.75785757865	59.0	30.0	38.8461538462	6.75785757865	1010	59936
0.121131	23.44883108139038	58	35.1379310345	3.98898602561	44.0	27.0	35.1379310345	3.98898602561	1019	60955
0.000561269	23.714980125427246	59	34.8965517241	4.78031038948	45.0	26.0	34.8965517241	4.78031038948	1012	61967
0.00926767	23.996949911117554	60	36.2142857143	6.65130031786	53.0	27.0	36.2142857143	6.65130031786	1014	62981
0.0306266	24.268360137939453	61	41.0	15.4583310872	99.0	24.0	41.0	15.4583310872	1025	64006
0.0193006	24.5430326461792	62	47.0909090909	8.69644175359	64.0	34.0	47.0909090909	8.69644175359	1036	65042
0.0180716	24.828959941864014	63	60.1111111111	17.2494408569	111.0	40.0	60.1111111111	17.2494408569	1082	66124
-0.00867577	25.10487651824951	64	63.0588235294	16.9027341618	103.0	44.0	63.0588235294	16.9027341618	1072	67196
0.00972628	25.362435817718506	65	63.8125	13.9831092304	87.0	41.0	63.8125	13.9831092304	1021	68217
0.018861	25.625185012817383	66	59.1176470588	16.3415110286	104.0	34.0	59.1176470588	16.3415110286	1005	69222
0.0124581	25.889661073684692	67	56.1666666667	12.5620681241	86.0	41.0	56.1666666667	12.5620681241	1011	70233
0.0252474	26.15059471130371	68	74.3571428571	30.9921813708	183.0	50.0	74.3571428571	30.9921813708	1041	71274
-0.00370035	26.414311408996582	69	68.8	13.1260555131	94.0	48.0	68.8	13.1260555131	1032	72306
0.0321889	26.69553780555725	70	70.5333333333	15.3573724604	115.0	51.0	70.5333333333	15.3573724604	1058	73364
0.058332	26.990634441375732	71	68.6	22.0448028645	114.0	38.0	68.6	22.0448028645	1029	74393
0.00610398	27.235929012298584	72	77.1538461538	20.0032541731	111.0	50.0	77.1538461538	20.0032541731	1003	75396
-0.0117332	27.49501061439514	73	93.5454545455	46.5410154133	206.0	34.0	93.5454545455	46.5410154133	1029	76425
-0.130916	27.747349739074707	74	92.3636363636	28.5251809883	141.0	43.0	92.3636363636	28.5251809883	1016	77441
-0.0590201	28.00259757041931	75	91.6363636364	18.0970752397	119.0	68.0	91.6363636364	18.0970752397	1008	78449
-0.113362	28.273985385894775	76	108.0	26.7507009254	153.0	74.0	108.0	26.7507009254	1080	79529
-0.166386	28.527508974075317	77	91.5454545455	22.2398644386	149.0	70.0	91.5454545455	22.2398644386	1007	80536
0.00999315	28.799049854278564	78	97.2727272727	25.8389800991	156.0	67.0	97.2727272727	25.8389800991	1070	81606
-0.0325427	29.063709259033203	79	104.6	29.3843495759	170.0	56.0	104.6	29.3843495759	1046	82652
-0.0107769	29.33789825439453	80	127.25	29.7058495923	191.0	90.0	127.25	29.7058495923	1018	83670
0.0353046	29.612918853759766	81	107.4	21.932624102	152.0	85.0	107.4	21.932624102	1074	84744
-0.0107984	29.89547896385193	82	89.25	18.8905840743	142.0	74.0	89.25	18.8905840743	1071	85815
0.00126684	30.217963933944702	83	80.1538461538	8.92572904884	103.0	66.0	80.1538461538	8.92572904884	1042	86857
0.0232354	30.540754795074463	84	88.5833333333	15.2559187057	127.0	73.0	88.5833333333	15.2559187057	1063	87920
