LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0190315	6.862913608551025	0	3.675238795	2.2284077912	20.0	1.0	3.675238795	2.2284077912	5002	5002
0.0164289	8.538291692733765	1	3.61605206074	2.19529564141	15.0	1.0	3.61605206074	2.19529564141	5001	10003
0.0164118	10.213970422744751	2	3.61444043321	2.13752973106	21.0	1.0	3.61444043321	2.13752973106	5006	15009
0.0216188	11.86306357383728	3	3.86929621036	2.49963818875	23.0	1.0	3.86929621036	2.49963818875	5003	20012
0.019474	13.524807214736938	4	3.90632318501	2.32804555001	20.0	1.0	3.90632318501	2.32804555001	5004	25016
0.0216627	15.179217100143433	5	4.02981466559	2.58082822775	24.0	1.0	4.02981466559	2.58082822775	5001	30017
0.0200863	16.87960410118103	6	3.99122106943	2.6016299501	20.0	1.0	3.99122106943	2.6016299501	5001	35018
0.0188065	18.505771160125732	7	4.15186721992	2.62183748222	18.0	1.0	4.15186721992	2.62183748222	5003	40021
0.0212841	20.12475275993347	8	4.32411408816	2.78833494566	26.0	1.0	4.32411408816	2.78833494566	5003	45024
0.0204039	21.74965214729309	9	4.34461805556	2.89848299522	23.0	1.0	4.34461805556	2.89848299522	5005	50029
0.0240507	23.39896059036255	10	4.68475210477	3.15498646989	23.0	1.0	4.68475210477	3.15498646989	5008	55037
0.0231495	25.18181276321411	11	4.63737280296	3.19890275747	32.0	1.0	4.63737280296	3.19890275747	5013	60050
0.0221119	26.811264038085938	12	4.70998116761	3.27242001705	25.0	1.0	4.70998116761	3.27242001705	5002	65052
0.0222597	28.452075242996216	13	4.69953051643	3.19944974219	21.0	1.0	4.69953051643	3.19944974219	5005	70057
0.0196304	29.983251810073853	14	4.83011583012	3.18722419294	22.0	1.0	4.83011583012	3.18722419294	5004	75061
0.0200472	31.56344246864319	15	4.90775269872	3.37387770802	22.0	1.0	4.90775269872	3.37387770802	5001	80062
0.0166588	33.076491355895996	16	5.00600600601	3.43828238365	25.0	1.0	5.00600600601	3.43828238365	5001	85063
0.0187082	34.73369073867798	17	5.07505070994	3.48110609469	27.0	1.0	5.07505070994	3.48110609469	5004	90067
