LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0201277	6.522858619689941	0	6.6164021164	3.61228734453	32.0	3.0	6.6164021164	3.61228734453	5002	5002
0.0221364	7.949833869934082	1	7.19568345324	4.00492269936	28.0	3.0	7.19568345324	4.00492269936	5001	10003
0.0208023	9.344913244247437	2	7.80343213729	4.45242356295	34.0	2.0	7.80343213729	4.45242356295	5002	15005
0.0202842	10.736077308654785	3	8.46050420168	5.17911478902	38.0	2.0	8.46050420168	5.17911478902	5034	20039
0.0177153	12.106081485748291	4	9.14442413163	6.10115679588	46.0	3.0	9.14442413163	6.10115679588	5002	25041
0.0176297	13.461488485336304	5	9.78864970646	6.47336469135	43.0	3.0	9.78864970646	6.47336469135	5002	30043
0.0165777	14.779130697250366	6	10.5995762712	7.08503434606	49.0	2.0	10.5995762712	7.08503434606	5003	35046
0.0125169	16.088853120803833	7	12.8637532134	8.4479015694	64.0	3.0	12.8637532134	8.4479015694	5004	40050
0.0119778	17.3916015625	8	13.0968586387	8.17021410422	50.0	3.0	13.0968586387	8.17021410422	5003	45053
0.00990949	18.659459352493286	9	15.9079365079	11.1213123239	90.0	3.0	15.9079365079	11.1213123239	5011	50064
0.00931267	19.913422346115112	10	16.0416666667	10.4222485045	59.0	3.0	16.0416666667	10.4222485045	5005	55069
0.00822326	21.182548999786377	11	17.3737024221	10.5383859454	57.0	3.0	17.3737024221	10.5383859454	5021	60090
0.00629921	22.46434187889099	12	19.76953125	11.714274536	64.0	3.0	19.76953125	11.714274536	5061	65151
0.00602487	23.708398818969727	13	20.9958158996	11.6290279954	67.0	4.0	20.9958158996	11.6290279954	5018	70169
0.00443287	24.943391799926758	14	22.0660792952	12.4444154116	77.0	4.0	22.0660792952	12.4444154116	5009	75178
0.00409973	26.18120765686035	15	22.7375565611	13.2372671307	73.0	4.0	22.7375565611	13.2372671307	5025	80203
0.00472382	27.42629384994507	16	24.1875	13.2726018223	62.0	4.0	24.1875	13.2726018223	5031	85234
0.00329612	28.65858793258667	17	27.5934065934	14.3507690355	84.0	4.0	27.5934065934	14.3507690355	5022	90256
0.00278072	29.864047050476074	18	27.3715846995	14.5678612208	96.0	3.0	27.3715846995	14.5678612208	5009	95265
0.00355615	31.103168725967407	19	25.8711340206	13.1932070835	89.0	5.0	25.8711340206	13.1932070835	5019	100284
0.0031895	32.307355880737305	20	27.8888888889	14.7974805997	76.0	5.0	27.8888888889	14.7974805997	5020	105304
0.00301506	33.52086424827576	21	29.8154761905	13.9470255751	78.0	6.0	29.8154761905	13.9470255751	5009	110313
0.00152346	34.76165056228638	22	30.4156626506	15.5149207774	94.0	8.0	30.4156626506	15.5149207774	5049	115362
0.002325	35.95413255691528	23	30.1987951807	15.7843982294	125.0	6.0	30.1987951807	15.7843982294	5013	120375
0.00215467	37.1868839263916	24	30.3333333333	12.8272122356	78.0	6.0	30.3333333333	12.8272122356	5005	125380
0.00154909	38.400351762771606	25	31.375	13.2602554651	84.0	5.0	31.375	13.2602554651	5020	130400
0.00163912	39.600576877593994	26	33.9189189189	13.9388207233	83.0	10.0	33.9189189189	13.9388207233	5020	135420
0.00248029	40.807233810424805	27	34.9444444444	15.2045213386	82.0	7.0	34.9444444444	15.2045213386	5032	140452
0.00179552	42.02309536933899	28	33.7046979866	13.1437602803	79.0	8.0	33.7046979866	13.1437602803	5022	145474
0.00119849	43.22065711021423	29	36.5620437956	15.7386786161	111.0	11.0	36.5620437956	15.7386786161	5009	150483
0.00219335	44.448604345321655	30	36.5547445255	15.5647551082	92.0	9.0	36.5547445255	15.5647551082	5008	155491
0.00155597	45.638015270233154	31	40.3629032258	17.2375877164	93.0	9.0	40.3629032258	17.2375877164	5005	160496
0.00217829	46.83889055252075	32	38.7692307692	15.9742766595	88.0	12.0	38.7692307692	15.9742766595	5040	165536
0.00153875	48.02405881881714	33	38.7984496124	14.9367554798	92.0	12.0	38.7984496124	14.9367554798	5005	170541
0.00142173	49.23303198814392	34	39.7380952381	15.6647306663	96.0	10.0	39.7380952381	15.6647306663	5007	175548
0.00111056	50.44047999382019	35	42.5714285714	19.938380466	115.0	13.0	42.5714285714	19.938380466	5066	180614
0.00171706	51.63879203796387	36	44.9642857143	18.4627658949	92.0	11.0	44.9642857143	18.4627658949	5036	185650
0.0014227	52.81682348251343	37	45.9816513761	22.2492064187	164.0	17.0	45.9816513761	22.2492064187	5012	190662
0.00182649	54.042253494262695	38	45.6727272727	18.0177231388	118.0	17.0	45.6727272727	18.0177231388	5024	195686
0.00129237	55.217074394226074	39	49.2941176471	21.0333946592	113.0	16.0	49.2941176471	21.0333946592	5028	200714
0.002003	56.40794825553894	40	49.5346534653	19.6047904615	119.0	15.0	49.5346534653	19.6047904615	5003	205717
0.00158848	57.564717292785645	41	50.05	20.5204166624	112.0	16.0	50.05	20.5204166624	5005	210722
0.00209688	58.74373006820679	42	55.0659340659	23.1468328823	127.0	16.0	55.0659340659	23.1468328823	5011	215733
0.00226662	59.9276819229126	43	53.6526315789	22.2132101147	140.0	15.0	53.6526315789	22.2132101147	5097	220830
0.00249149	61.08717083930969	44	51.5204081633	20.570550374	121.0	18.0	51.5204081633	20.570550374	5049	225879
0.00282394	62.2698769569397	45	61.2195121951	27.7123835972	183.0	11.0	61.2195121951	27.7123835972	5020	230899
0.00182177	63.447571992874146	46	61.2073170732	23.4389387324	153.0	26.0	61.2073170732	23.4389387324	5019	235918
0.00339347	64.6385350227356	47	61.6341463415	22.3200184649	144.0	23.0	61.6341463415	22.3200184649	5054	240972
0.00222641	65.83466672897339	48	60.4761904762	23.8259943032	160.0	12.0	60.4761904762	23.8259943032	5080	246052
0.00169234	67.01246643066406	49	65.2207792208	32.2275285152	200.0	16.0	65.2207792208	32.2275285152	5022	251074
