LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.00576179	6.873199939727783	0	3.11069651741	1.56100969124	13.0	1.0	3.11069651741	1.56100969124	5002	5002
0.00578214	8.639325141906738	1	3.11581569116	1.59982453144	13.0	1.0	3.11581569116	1.59982453144	5004	10006
0.00564793	10.35676121711731	2	3.19961612284	1.6906880127	12.0	1.0	3.19961612284	1.6906880127	5001	15007
0.00567336	12.058730125427246	3	3.27207325049	1.77122142287	14.0	1.0	3.27207325049	1.77122142287	5003	20010
0.00568804	13.785873413085938	4	3.21672025723	1.68556673674	15.0	1.0	3.21672025723	1.68556673674	5002	25012
0.00678518	15.478091478347778	5	3.30886243386	1.8367142785	14.0	1.0	3.30886243386	1.8367142785	5003	30015
0.00714417	17.161829710006714	6	3.48086290884	2.01986028751	18.0	1.0	3.48086290884	2.01986028751	5002	35017
0.00638574	18.845791578292847	7	3.41336971351	2.02466003641	21.0	1.0	3.41336971351	2.02466003641	5004	40021
0.00632477	20.525320768356323	8	3.4680998613	2.01296639286	14.0	1.0	3.4680998613	2.01296639286	5001	45022
0.00610709	22.21449375152588	9	3.48191933241	1.92144581896	17.0	1.0	3.48191933241	1.92144581896	5007	50029
0.00695358	23.875004529953003	10	3.58052970651	2.12968762232	17.0	1.0	3.58052970651	2.12968762232	5002	55031
0.00710806	25.539608001708984	11	3.587517934	2.18968214579	25.0	1.0	3.587517934	2.18968214579	5001	60032
0.00650194	27.180222272872925	12	3.68262150221	2.23643182226	22.0	1.0	3.68262150221	2.23643182226	5001	65033
0.00665557	28.815985679626465	13	3.75600600601	2.27825962763	18.0	1.0	3.75600600601	2.27825962763	5003	70036
0.00652556	30.44121789932251	14	3.82631981637	2.32441132041	22.0	1.0	3.82631981637	2.32441132041	5001	75037
0.00639841	32.05812883377075	15	4.0387409201	2.5857591676	27.0	1.0	4.0387409201	2.5857591676	5004	80041
0.00585876	33.66687536239624	16	4.09321340965	2.75125388366	25.0	1.0	4.09321340965	2.75125388366	5006	85047
0.00679748	35.27149748802185	17	4.20151133501	2.66167205637	17.0	1.0	4.20151133501	2.66167205637	5004	90051
0.00615902	36.87772226333618	18	4.23434856176	2.77956122729	21.0	1.0	4.23434856176	2.77956122729	5005	95056
0.00706276	38.4373517036438	19	4.53351449275	3.05901494454	24.0	1.0	4.53351449275	3.05901494454	5005	100061
0.00560342	40.01924467086792	20	4.29982817869	2.91994562359	27.0	1.0	4.29982817869	2.91994562359	5005	105066
0.00619213	41.61831784248352	21	4.33073593074	2.73531638672	20.0	1.0	4.33073593074	2.73531638672	5002	110068
0.00567183	43.21917986869812	22	4.3316017316	2.93419849551	28.0	1.0	4.3316017316	2.93419849551	5003	115071
0.00573526	44.780773639678955	23	4.6576744186	2.98180906319	19.0	1.0	4.6576744186	2.98180906319	5007	120078
0.00552122	46.31492853164673	24	4.81888246628	3.24615526307	22.0	1.0	4.81888246628	3.24615526307	5002	125080
0.00489211	47.85690665245056	25	4.86394557823	3.34695260215	24.0	1.0	4.86394557823	3.34695260215	5005	130085
0.00496127	49.38422083854675	26	5.19854469854	3.46786224758	26.0	1.0	5.19854469854	3.46786224758	5001	135086
0.00462094	50.91606163978577	27	5.0924796748	3.74445176955	28.0	1.0	5.0924796748	3.74445176955	5011	140097
0.00537728	52.40764856338501	28	5.43804347826	3.77671188917	23.0	1.0	5.43804347826	3.77671188917	5003	145100
0.00419887	53.90699291229248	29	5.44989106754	4.01755339507	35.0	1.0	5.44989106754	4.01755339507	5003	150103
0.00360246	55.411048889160156	30	5.62542182227	3.86328008738	31.0	1.0	5.62542182227	3.86328008738	5001	155104
0.00383488	56.89003109931946	31	5.65649717514	3.99654867223	25.0	1.0	5.65649717514	3.99654867223	5006	160110
0.00280091	58.38614511489868	32	5.69055745165	4.04522663223	30.0	1.0	5.69055745165	4.04522663223	5002	165112
0.00331841	59.896509408950806	33	5.62065095398	3.86729648047	25.0	1.0	5.62065095398	3.86729648047	5008	170120
0.00297756	61.384873390197754	34	5.68409090909	3.93876094856	26.0	1.0	5.68409090909	3.93876094856	5002	175122
0.00235765	62.85322046279907	35	6.06787878788	4.42365525369	31.0	1.0	6.06787878788	4.42365525369	5006	180128
0.00302024	64.31759071350098	36	6.38825031928	4.57992341324	33.0	1.0	6.38825031928	4.57992341324	5002	185130
0.00274251	65.77828550338745	37	6.33544303797	4.3548470878	35.0	1.0	6.33544303797	4.3548470878	5005	190135
0.00229584	67.25799226760864	38	6.19950433705	4.44892254081	26.0	1.0	6.19950433705	4.44892254081	5003	195138
0.00166366	68.70754981040955	39	6.29271356784	4.731323736	41.0	2.0	6.29271356784	4.731323736	5009	200147
0.0020228	70.15582704544067	40	6.53986928105	4.78615022433	31.0	1.0	6.53986928105	4.78615022433	5003	205150
0.00168381	71.60408091545105	41	6.61558784676	4.86938187786	49.0	1.0	6.61558784676	4.86938187786	5008	210158
0.00186421	73.03694272041321	42	6.9651810585	5.23701864069	33.0	1.0	6.9651810585	5.23701864069	5001	215159
0.00178873	74.49277186393738	43	6.79483695652	4.82746056606	29.0	1.0	6.79483695652	4.82746056606	5001	220160
0.00144032	75.9322235584259	44	6.8485675307	4.9508072565	36.0	1.0	6.8485675307	4.9508072565	5020	225180
0.00141367	77.36127495765686	45	7.07334273625	5.07492330119	39.0	1.0	7.07334273625	5.07492330119	5015	230195
0.0016578	78.79111528396606	46	7.19540229885	5.11553657922	30.0	2.0	7.19540229885	5.11553657922	5008	235203
0.0014478	80.22609448432922	47	6.90344827586	5.01353222297	33.0	1.0	6.90344827586	5.01353222297	5005	240208
0.0015356	81.69540929794312	48	6.86419753086	4.96234871206	40.0	1.0	6.86419753086	4.96234871206	5004	245212
0.00123943	83.13191604614258	49	7.3431085044	5.71432739273	44.0	1.0	7.3431085044	5.71432739273	5008	250220
0.00103093	84.55388593673706	50	7.14714285714	5.11578010888	41.0	1.0	7.14714285714	5.11578010888	5003	255223
0.00127319	85.97984194755554	51	7.13552068474	4.91614788585	36.0	1.0	7.13552068474	4.91614788585	5002	260225
0.00131524	87.39673662185669	52	7.71340523883	5.83500585561	48.0	1.0	7.71340523883	5.83500585561	5006	265231
0.00146845	88.80966973304749	53	7.51124437781	5.52745168587	43.0	1.0	7.51124437781	5.52745168587	5010	270241
0.00137247	90.2349181175232	54	7.66615620214	5.58619251255	45.0	1.0	7.66615620214	5.58619251255	5006	275247
0.00130452	91.6616325378418	55	7.42136498516	5.25469019607	34.0	1.0	7.42136498516	5.25469019607	5002	280249
0.00134437	93.08036851882935	56	7.45454545455	5.72915305164	41.0	1.0	7.45454545455	5.72915305164	5002	285251
0.00146178	94.48978805541992	57	7.52330827068	5.13544204477	37.0	1.0	7.52330827068	5.13544204477	5003	290254
0.00146297	95.89571452140808	58	8.008	5.60955755831	43.0	1.0	8.008	5.60955755831	5005	295259
0.00158595	97.29090189933777	59	8.36287625418	6.65165956771	50.0	2.0	8.36287625418	6.65165956771	5001	300260
0.00157177	98.70085382461548	60	7.49251497006	5.22530728186	38.0	1.0	7.49251497006	5.22530728186	5005	305265
