LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0272158	5.298135757446289	0	20.6734693878	6.2217123278	37.0	9.0	20.6734693878	6.2217123278	1013	1013
0.0665525	5.5596604347229	1	21.3829787234	9.5261190586	62.0	7.0	21.3829787234	9.5261190586	1005	2018
-0.0201527	5.82509183883667	2	22.3333333333	9.26402840141	53.0	9.0	22.3333333333	9.26402840141	1005	3023
0.0471408	6.0788469314575195	3	33.5806451613	16.397824784	81.0	14.0	33.5806451613	16.397824784	1041	4064
0.0685524	6.333907127380371	4	39.9230769231	12.7849763903	65.0	22.0	39.9230769231	12.7849763903	1038	5102
0.0736181	6.57564377784729	5	33.5	13.6619910701	65.0	15.0	33.5	13.6619910701	1005	6107
0.087077	6.833163261413574	6	43.2083333333	17.4140249193	88.0	16.0	43.2083333333	17.4140249193	1037	7144
0.041894	7.078650712966919	7	37.6296296296	12.9046306594	71.0	15.0	37.6296296296	12.9046306594	1016	8160
0.149793	7.3276848793029785	8	53.5789473684	19.9428546483	105.0	24.0	53.5789473684	19.9428546483	1018	9178
-0.0341127	7.567399024963379	9	51.6	12.9243955371	67.0	25.0	51.6	12.9243955371	1032	10210
0.0493944	7.812530040740967	10	56.1111111111	12.4672410246	82.0	31.0	56.1111111111	12.4672410246	1010	11220
-0.0345557	8.074775218963623	11	63.0588235294	18.1739004465	107.0	35.0	63.0588235294	18.1739004465	1072	12292
0.040307	8.315310716629028	12	59.7058823529	18.8734631813	99.0	31.0	59.7058823529	18.8734631813	1015	13307
0.0875521	8.568270683288574	13	64.75	13.193274802	93.0	40.0	64.75	13.193274802	1036	14343
0.0437083	8.814388990402222	14	70.6	20.2214407663	118.0	48.0	70.6	20.2214407663	1059	15402
0.0184524	9.065951585769653	15	72.7857142857	15.9247272748	103.0	44.0	72.7857142857	15.9247272748	1019	16421
-0.0432303	9.319522142410278	16	74.1428571429	28.3797139391	142.0	47.0	74.1428571429	28.3797139391	1038	17459
-0.0130026	9.551133632659912	17	85.3333333333	20.4178571082	132.0	54.0	85.3333333333	20.4178571082	1024	18483
0.156446	9.812856435775757	18	99.6363636364	32.6337046271	188.0	68.0	99.6363636364	32.6337046271	1096	19579
0.0568345	10.067163228988647	19	89.75	17.2149402168	127.0	65.0	89.75	17.2149402168	1077	20656
0.0371733	10.30883526802063	20	91.0	22.7476272489	132.0	50.0	91.0	22.7476272489	1001	21657
-0.263073	10.549950122833252	21	101.1	20.2012375859	134.0	76.0	101.1	20.2012375859	1011	22668
-0.0891752	10.803791999816895	22	98.1818181818	10.7010465233	120.0	87.0	98.1818181818	10.7010465233	1080	23748
0.0151198	11.060492277145386	23	97.2727272727	20.4632304794	126.0	56.0	97.2727272727	20.4632304794	1070	24818
-0.024035	11.324780464172363	24	90.5	18.5764187435	115.0	53.0	90.5	18.5764187435	1086	25904
0.00249434	11.570210933685303	25	83.75	19.3482342002	113.0	58.0	83.75	19.3482342002	1005	26909
0.0286417	11.840094089508057	26	94.0833333333	29.9345350538	137.0	45.0	94.0833333333	29.9345350538	1129	28038
0.00147533	12.086672306060791	27	84.5833333333	16.2247667335	109.0	46.0	84.5833333333	16.2247667335	1015	29053
0.00327969	12.33155608177185	28	84.8333333333	20.2847780915	119.0	52.0	84.8333333333	20.2847780915	1018	30071
0.0419799	12.606163263320923	29	95.0909090909	12.1987670424	118.0	78.0	95.0909090909	12.1987670424	1046	31117
0.0499227	12.856139898300171	30	87.8333333333	18.3022463709	122.0	57.0	87.8333333333	18.3022463709	1054	32171
0.0132861	13.099804878234863	31	94.0	27.1159128054	135.0	48.0	94.0	27.1159128054	1034	33205
0.0477824	13.342231035232544	32	103.6	13.6323145504	127.0	86.0	103.6	13.6323145504	1036	34241
0.142411	13.591642141342163	33	114.777777778	24.5074944446	154.0	77.0	114.777777778	24.5074944446	1033	35274
-0.030818	13.844447374343872	34	118.555555556	34.8460458816	175.0	74.0	118.555555556	34.8460458816	1067	36341
-0.230818	14.097257614135742	35	115.111111111	37.5127961707	191.0	66.0	115.111111111	37.5127961707	1036	37377
-0.0450234	14.360322713851929	36	136.75	50.2910280269	243.0	85.0	136.75	50.2910280269	1094	38471
0.0686536	14.632224321365356	37	195.5	52.2039270553	281.0	125.0	195.5	52.2039270553	1173	39644
-0.271267	14.893247127532959	38	154.285714286	34.33746095	212.0	116.0	154.285714286	34.33746095	1080	40724
0.0870314	15.138388395309448	39	174.166666667	23.0898005381	221.0	152.0	174.166666667	23.0898005381	1045	41769
0.0475907	15.39228081703186	40	148.285714286	36.5580332611	199.0	99.0	148.285714286	36.5580332611	1038	42807
0.0882359	15.647467136383057	41	152.571428571	47.9817142041	247.0	109.0	152.571428571	47.9817142041	1068	43875
0.0865734	15.914445161819458	42	163.571428571	34.0246009438	209.0	110.0	163.571428571	34.0246009438	1145	45020
-0.0270944	16.145049571990967	43	200.4	26.6052626373	236.0	160.0	200.4	26.6052626373	1002	46022
-0.0503006	16.416871309280396	44	189.833333333	52.6795870228	254.0	128.0	189.833333333	52.6795870228	1139	47161
-0.111884	16.688832998275757	45	227.8	51.0779795998	302.0	164.0	227.8	51.0779795998	1139	48300
-0.12355	16.97570300102234	46	198.833333333	34.021643438	244.0	153.0	198.833333333	34.021643438	1193	49493
