LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.00737244	5.685105085372925	0	3.60071942446	2.03094748427	14.0	1.0	3.60071942446	2.03094748427	1001	1001
0.00623442	6.046790361404419	1	3.84291187739	2.37851122741	16.0	1.0	3.84291187739	2.37851122741	1003	2004
0.00921901	6.383718013763428	2	3.73880597015	2.21065636393	13.0	1.0	3.73880597015	2.21065636393	1002	3006
0.00731124	6.721720457077026	3	3.85384615385	2.48259026782	16.0	1.0	3.85384615385	2.48259026782	1002	4008
0.00747915	7.064157009124756	4	4.03212851406	2.71374825766	21.0	1.0	4.03212851406	2.71374825766	1004	5012
0.00849234	7.388691663742065	5	4.37991266376	3.11353405562	24.0	1.0	4.37991266376	3.11353405562	1003	6015
0.011477	7.734256982803345	6	3.75280898876	2.27483002885	16.0	1.0	3.75280898876	2.27483002885	1002	7017
0.010253	8.072985172271729	7	4.15767634855	2.63711798772	15.0	1.0	4.15767634855	2.63711798772	1002	8019
0.00878093	8.40247893333435	8	4.20833333333	2.63279266601	15.0	1.0	4.20833333333	2.63279266601	1010	9029
0.00822908	8.733457326889038	9	4.34632034632	3.24757276814	22.0	1.0	4.34632034632	3.24757276814	1004	10033
0.0085053	9.067013263702393	10	4.14876033058	2.44158584498	15.0	1.0	4.14876033058	2.44158584498	1004	11037
0.00815214	9.387362480163574	11	4.69953051643	3.07707710912	17.0	2.0	4.69953051643	3.07707710912	1001	12038
0.00831752	9.751258611679077	12	4.47767857143	3.08646844599	21.0	1.0	4.47767857143	3.08646844599	1003	13041
0.00677066	10.10890007019043	13	4.43362831858	3.06096203917	22.0	1.0	4.43362831858	3.06096203917	1002	14043
0.00698756	10.432572364807129	14	4.63425925926	3.36657486225	19.0	1.0	4.63425925926	3.36657486225	1001	15044
0.00875975	10.754597187042236	15	4.81818181818	3.3080233832	22.0	1.0	4.81818181818	3.3080233832	1007	16051
0.00610736	11.06753396987915	16	5.13333333333	3.37603418786	22.0	2.0	5.13333333333	3.37603418786	1001	17052
0.00634491	11.383249998092651	17	5.27894736842	3.29610279403	18.0	1.0	5.27894736842	3.29610279403	1003	18055
0.0064735	11.69228720664978	18	5.81502890173	4.69169782354	29.0	1.0	5.81502890173	4.69169782354	1006	19061
0.00366475	12.001796245574951	19	5.61452513966	3.97927749165	19.0	1.0	5.61452513966	3.97927749165	1005	20066
0.00515868	12.316597700119019	20	5.51098901099	3.68355270905	21.0	1.0	5.51098901099	3.68355270905	1003	21069
0.00296138	12.629955768585205	21	5.56906077348	3.78159744398	22.0	1.0	5.56906077348	3.78159744398	1008	22077
0.00376819	12.930463314056396	22	5.83139534884	4.59658016527	36.0	1.0	5.83139534884	4.59658016527	1003	23080
0.00279535	13.238357543945312	23	5.98214285714	4.47941484046	32.0	1.0	5.98214285714	4.47941484046	1005	24085
0.00307073	13.53508448600769	24	6.66013071895	4.53766142685	31.0	1.0	6.66013071895	4.53766142685	1019	25104
0.00301026	13.83289122581482	25	6.59210526316	4.51802714158	27.0	2.0	6.59210526316	4.51802714158	1002	26106
