LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.118787	5.583413362503052	0	7.94488188976	4.03197278185	23.0	3.0	7.94488188976	4.03197278185	1009	1009
0.0868822	5.894423246383667	1	12.2073170732	7.27464323973	39.0	3.0	12.2073170732	7.27464323973	1001	2010
0.0613549	6.162670612335205	2	14.5652173913	9.0401331606	63.0	4.0	14.5652173913	9.0401331606	1005	3015
0.0189847	6.420843601226807	3	22.4	11.2297224661	55.0	7.0	22.4	11.2297224661	1008	4023
0.0132198	6.692786455154419	4	26.8157894737	12.4749333152	69.0	10.0	26.8157894737	12.4749333152	1019	5042
0.01656	6.948104381561279	5	28.4444444444	13.041481776	60.0	6.0	28.4444444444	13.041481776	1024	6066
0.0145465	7.208710432052612	6	28.0	13.2957804501	68.0	10.0	28.0	13.2957804501	1008	7074
0.00828182	7.4810919761657715	7	31.9393939394	14.0301394061	59.0	13.0	31.9393939394	14.0301394061	1054	8128
0.0130325	7.743489503860474	8	39.1153846154	16.4324419344	73.0	11.0	39.1153846154	16.4324419344	1017	9145
0.00740505	8.004748582839966	9	46.9090909091	29.1483807299	133.0	15.0	46.9090909091	29.1483807299	1032	10177
0.0141181	8.262176752090454	10	47.1818181818	19.5393225053	95.0	14.0	47.1818181818	19.5393225053	1038	11215
0.00429258	8.514241933822632	11	46.8181818182	20.8034882644	88.0	18.0	46.8181818182	20.8034882644	1030	12245
0.00637572	8.771002531051636	12	48.7619047619	24.7596152788	93.0	9.0	48.7619047619	24.7596152788	1024	13269
0.00349738	9.027626037597656	13	55.8888888889	23.4849570976	108.0	8.0	55.8888888889	23.4849570976	1006	14275
0.00391567	9.297627449035645	14	65.1764705882	32.5544526531	130.0	21.0	65.1764705882	32.5544526531	1108	15383
0.00749784	9.55661678314209	15	69.5333333333	38.5812850428	159.0	11.0	69.5333333333	38.5812850428	1043	16426
0.00908216	9.803134679794312	16	56.5555555556	19.4342830592	97.0	19.0	56.5555555556	19.4342830592	1018	17444
-0.000257066	10.068553924560547	17	89.1666666667	41.8605489161	199.0	21.0	89.1666666667	41.8605489161	1070	18514
0.00274678	10.321946859359741	18	56.8333333333	19.3742383363	89.0	17.0	56.8333333333	19.3742383363	1023	19537
0.00418606	10.587563514709473	19	70.0666666667	37.942881048	171.0	22.0	70.0666666667	37.942881048	1051	20588
0.00616679	10.856605052947998	20	96.0909090909	38.8621211826	182.0	44.0	96.0909090909	38.8621211826	1057	21645
0.00822494	11.114341020584106	21	71.7142857143	49.05161796	204.0	11.0	71.7142857143	49.05161796	1004	22649
0.00923388	11.369032144546509	22	74.6428571429	26.4699483049	117.0	29.0	74.6428571429	26.4699483049	1045	23694
