LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.01418	5.583827018737793	0	3.59856630824	2.07825352868	12.0	1.0	3.59856630824	2.07825352868	1004	1004
0.0239478	5.962080717086792	1	3.71111111111	2.17176039421	15.0	1.0	3.71111111111	2.17176039421	1002	2006
0.0155074	6.294386148452759	2	4.08571428571	2.45714285714	14.0	1.0	4.08571428571	2.45714285714	1001	3007
0.0171008	6.6267571449279785	3	4.41228070175	2.88009321093	27.0	2.0	4.41228070175	2.88009321093	1006	4013
0.0157371	6.960365295410156	4	4.56363636364	2.87474037635	18.0	2.0	4.56363636364	2.87474037635	1004	5017
0.0179844	7.301826238632202	5	4.38427947598	2.93613491453	17.0	1.0	4.38427947598	2.93613491453	1004	6021
0.00998385	7.643771409988403	6	5.12244897959	3.94287087503	23.0	1.0	5.12244897959	3.94287087503	1004	7025
0.0118772	7.9652628898620605	7	5.26842105263	3.53278667874	19.0	2.0	5.26842105263	3.53278667874	1001	8026
0.0056397	8.287972211837769	8	5.005	3.47058712612	21.0	1.0	5.005	3.47058712612	1001	9027
0.00862387	8.595781087875366	9	5.96428571429	4.54067969679	29.0	2.0	5.96428571429	4.54067969679	1002	10029
0.0032313	8.91277527809143	10	5.79768786127	3.84370897705	26.0	2.0	5.79768786127	3.84370897705	1003	11032
0.000631154	9.225617170333862	11	5.91176470588	4.23269936856	23.0	1.0	5.91176470588	4.23269936856	1005	12037
0.00348964	9.54755449295044	12	5.95294117647	4.22013627422	22.0	1.0	5.95294117647	4.22013627422	1012	13049
0.00323839	9.867238759994507	13	5.79768786127	3.79680355001	18.0	2.0	5.79768786127	3.79680355001	1003	14052
0.00264192	10.17613410949707	14	6.10975609756	3.94630453117	22.0	1.0	6.10975609756	3.94630453117	1002	15054
0.00189966	10.488970279693604	15	6.28571428571	4.83315229801	30.0	1.0	6.28571428571	4.83315229801	1012	16066
0.00163735	10.814469814300537	16	5.75862068966	3.76757343548	26.0	1.0	5.75862068966	3.76757343548	1002	17068
0.00195016	11.139617681503296	17	5.63483146067	3.61431613882	18.0	1.0	5.63483146067	3.61431613882	1003	18071
0.00320077	11.464097738265991	18	5.89411764706	3.88064133393	25.0	1.0	5.89411764706	3.88064133393	1002	19073
0.00140511	11.776491403579712	19	6.44230769231	3.93902302188	20.0	2.0	6.44230769231	3.93902302188	1005	20078
0.00270459	12.091956853866577	20	5.74857142857	3.86555273657	22.0	1.0	5.74857142857	3.86555273657	1006	21084
0.00199133	12.410542964935303	21	6.0119760479	3.96691108047	22.0	2.0	6.0119760479	3.96691108047	1004	22088
0.00204791	12.742441415786743	22	6.23456790123	4.50314459384	23.0	1.0	6.23456790123	4.50314459384	1010	23098
0.00220096	13.058743000030518	23	6.1472392638	3.81671031838	23.0	1.0	6.1472392638	3.81671031838	1002	24100
0.00334338	13.3705153465271	24	6.18518518519	4.08886205037	23.0	2.0	6.18518518519	4.08886205037	1002	25102
0.00240926	13.684992551803589	25	6.64900662252	4.16894649849	22.0	2.0	6.64900662252	4.16894649849	1004	26106
0.00355601	13.989717483520508	26	6.70860927152	4.3407653428	21.0	2.0	6.70860927152	4.3407653428	1013	27119
0.00302827	14.306583642959595	27	6.39873417722	4.15817004757	22.0	2.0	6.39873417722	4.15817004757	1011	28130
0.00335798	14.613616704940796	28	7.42222222222	5.22312049012	38.0	2.0	7.42222222222	5.22312049012	1002	29132
0.00460249	14.916049242019653	29	7.54887218045	5.18451448617	27.0	1.0	7.54887218045	5.18451448617	1004	30136
0.00326607	15.209904909133911	30	7.53383458647	5.45597399309	33.0	2.0	7.53383458647	5.45597399309	1002	31138
0.00523971	15.511413097381592	31	8.024	4.85874716362	22.0	1.0	8.024	4.85874716362	1003	32141
0.00574671	15.812348365783691	32	8.016	5.31410801546	25.0	1.0	8.016	5.31410801546	1002	33143
0.0069623	16.120883226394653	33	7.45323741007	5.58417989133	43.0	2.0	7.45323741007	5.58417989133	1036	34179
0.00314729	16.423052310943604	34	7.64885496183	5.11833057248	31.0	2.0	7.64885496183	5.11833057248	1002	35181
0.00319146	16.70689845085144	35	9.46226415094	8.05660929698	48.0	2.0	9.46226415094	8.05660929698	1003	36184
0.00451279	17.009945392608643	36	8.2	6.15662245066	43.0	1.0	8.2	6.15662245066	1025	37209
0.00360249	17.299806833267212	37	8.34166666667	6.99225265721	35.0	2.0	8.34166666667	6.99225265721	1001	38210
