LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0696182	0.8733839988708496	0	26.8288770053	13.9947515113	75.0	9.0	26.8288770053	13.9947515113	5017	5017
0.0363216	1.606971263885498	1	26.0569948187	13.6943642311	83.0	9.0	26.0569948187	13.6943642311	5029	10046
0.0353184	2.352762460708618	2	26.7914438503	15.6449349939	121.0	9.0	26.7914438503	15.6449349939	5010	15056
0.0379677	3.089353084564209	3	32.5909090909	16.8602404954	96.0	10.0	32.5909090909	16.8602404954	5019	20075
0.0552673	3.824246406555176	4	33.5973154362	18.1821209707	108.0	10.0	33.5973154362	18.1821209707	5006	25081
0.0220718	4.563391208648682	5	34.1360544218	17.9601370598	145.0	11.0	34.1360544218	17.9601370598	5018	30099
0.031868	5.3038318157196045	6	38.0454545455	23.8295282944	181.0	10.0	38.0454545455	23.8295282944	5022	35121
0.0160732	6.034011125564575	7	35.3356643357	17.7594430927	98.0	11.0	35.3356643357	17.7594430927	5053	40174
0.030838	6.772596597671509	8	44.1052631579	22.4074581964	129.0	14.0	44.1052631579	22.4074581964	5028	45202
0.0230446	7.517544507980347	9	40.3709677419	20.0810726733	159.0	13.0	40.3709677419	20.0810726733	5006	50208
0.0225029	8.244481325149536	10	43.7652173913	19.7534060617	97.0	14.0	43.7652173913	19.7534060617	5033	55241
0.0197487	8.954299688339233	11	46.3333333333	22.2431845575	160.0	14.0	46.3333333333	22.2431845575	5004	60245
0.00619507	9.664781332015991	12	49.1078431373	18.0879696032	102.0	15.0	49.1078431373	18.0879696032	5009	65254
0.0174751	10.388200521469116	13	48.9611650485	23.8111185296	146.0	14.0	48.9611650485	23.8111185296	5043	70297
0.0221252	11.119300603866577	14	47.5660377358	22.2583538983	134.0	13.0	47.5660377358	22.2583538983	5042	75339
0.0121307	11.843279123306274	15	50.12	21.9637337445	154.0	19.0	50.12	21.9637337445	5012	80351
0.0241737	12.55958080291748	16	52.9368421053	25.2760800285	140.0	17.0	52.9368421053	25.2760800285	5029	85380
0.0229988	13.293839693069458	17	56.1868131868	27.8299041028	167.0	18.0	56.1868131868	27.8299041028	5113	90493
0.0375404	14.022535562515259	18	57.3295454545	24.4325237742	127.0	18.0	57.3295454545	24.4325237742	5045	95538
0.0472069	14.734794855117798	19	60.3012048193	30.6581363401	188.0	21.0	60.3012048193	30.6581363401	5005	100543
0.0381622	15.44992971420288	20	60.0119047619	24.2896676287	142.0	20.0	60.0119047619	24.2896676287	5041	105584
0.040657	16.163748741149902	21	58.3953488372	25.6126236453	141.0	14.0	58.3953488372	25.6126236453	5022	110606
0.0161018	16.87820601463318	22	57.6896551724	32.1413224001	200.0	21.0	57.6896551724	32.1413224001	5019	115625
0.0059967	17.606189250946045	23	57.1590909091	24.367865559	131.0	23.0	57.1590909091	24.367865559	5030	120655
0.00592422	18.333133220672607	24	69.7083333333	29.8414502459	136.0	25.0	69.7083333333	29.8414502459	5019	125674
0.0250931	19.059171438217163	25	64.7948717949	25.1637503698	134.0	26.0	64.7948717949	25.1637503698	5054	130728
0.012825	19.766155004501343	26	62.024691358	26.3433995334	159.0	23.0	62.024691358	26.3433995334	5024	135752
0.00961304	20.489270210266113	27	65.5064935065	29.4285943536	163.0	22.0	65.5064935065	29.4285943536	5044	140796
0.0176735	21.21580934524536	28	69.8888888889	29.3539489846	152.0	21.0	69.8888888889	29.3539489846	5032	145828
0.0509987	21.942930698394775	29	75.3134328358	35.0322703919	200.0	25.0	75.3134328358	35.0322703919	5046	150874
0.025486	22.705883741378784	30	75.2794117647	37.0305301658	200.0	26.0	75.2794117647	37.0305301658	5119	155993
0.0123367	23.44011664390564	31	78.359375	36.2350689886	197.0	35.0	78.359375	36.2350689886	5015	161008
0.0017128	24.17647886276245	32	75.2089552239	30.9180608539	168.0	28.0	75.2089552239	30.9180608539	5039	166047
0.0229988	24.909669876098633	33	83.3833333333	36.4211896505	200.0	30.0	83.3833333333	36.4211896505	5003	171050
0.00580215	25.658268451690674	34	75.4029850746	29.1537661485	171.0	26.0	75.4029850746	29.1537661485	5052	176102
0.0297165	26.393633365631104	35	74.4852941176	26.6041198971	153.0	25.0	74.4852941176	26.6041198971	5065	181167
0.0181313	27.123620748519897	36	84.1333333333	35.1627011982	198.0	26.0	84.1333333333	35.1627011982	5048	186215
0.00622559	27.888240575790405	37	86.0847457627	37.6762696234	200.0	22.0	86.0847457627	37.6762696234	5079	191294
0.0624084	28.65086340904236	38	95.0925925926	39.446291906	200.0	31.0	95.0925925926	39.446291906	5135	196429
0.0209961	29.393652200698853	39	95.2075471698	46.1888488097	200.0	27.0	95.2075471698	46.1888488097	5046	201475
-0.00279617	30.135545015335083	40	85.0677966102	29.5077492877	198.0	35.0	85.0677966102	29.5077492877	5019	206494
0.0384445	30.86448359489441	41	100.5	42.0985747977	200.0	33.0	100.5	42.0985747977	5025	211519
0.0846672	31.640233993530273	42	88.9655172414	31.8130126907	183.0	36.0	88.9655172414	31.8130126907	5160	216679
0.0377808	32.39010763168335	43	105.291666667	37.6906035667	200.0	38.0	105.291666667	37.6906035667	5054	221733
-0.0144424	33.136738300323486	44	107.127659574	43.306241023	200.0	38.0	107.127659574	43.306241023	5035	226768
0.0991974	33.89745044708252	45	130.461538462	46.0817813457	200.0	60.0	130.461538462	46.0817813457	5088	231856
-0.0526962	34.69429135322571	46	119.302325581	42.9144822326	200.0	39.0	119.302325581	42.9144822326	5130	236986
0.0672226	35.456947565078735	47	133.0	44.6919279183	200.0	58.0	133.0	44.6919279183	5054	242040
-0.0608368	36.231215953826904	48	163.161290323	40.6900929324	200.0	60.0	163.161290323	40.6900929324	5058	247098
-0.515877	37.006874799728394	49	166.161290323	28.6740264331	200.0	111.0	166.161290323	28.6740264331	5151	252249
-0.164619	37.781766176223755	50	175.310344828	27.1789769774	200.0	120.0	175.310344828	27.1789769774	5084	257333
-0.177238	38.5459144115448	51	170.2	32.625552358	200.0	101.0	170.2	32.625552358	5106	262439
0.00646973	39.31731033325195	52	170.9	36.0419662801	200.0	104.0	170.9	36.0419662801	5127	267566
-0.0194168	40.08272957801819	53	165.838709677	35.192646569	200.0	98.0	165.838709677	35.192646569	5141	272707
-0.0979767	40.838207721710205	54	164.096774194	40.8943207972	200.0	57.0	164.096774194	40.8943207972	5087	277794
0.0198669	41.60336518287659	55	159.5625	38.6158464073	200.0	87.0	159.5625	38.6158464073	5106	282900
0.0188675	42.358368158340454	56	169.766666667	37.6604862186	200.0	84.0	169.766666667	37.6604862186	5093	287993
-0.00642395	43.09674644470215	57	159.09375	37.3884669509	200.0	90.0	159.09375	37.3884669509	5091	293084
-0.0349197	43.828078269958496	58	152.212121212	48.8663964454	200.0	40.0	152.212121212	48.8663964454	5023	298107
-0.0180359	44.55853986740112	59	173.034482759	36.7324743654	200.0	100.0	173.034482759	36.7324743654	5018	303125
-0.0159683	45.311683893203735	60	161.6875	38.9650785159	200.0	92.0	161.6875	38.9650785159	5174	308299
0.0398026	46.043479204177856	61	172.448275862	35.263135197	200.0	91.0	172.448275862	35.263135197	5001	313300
0.0378342	46.790393590927124	62	167.6	42.292316087	200.0	79.0	167.6	42.292316087	5028	318328
0.0517883	47.53856921195984	63	176.724137931	34.4272311542	200.0	96.0	176.724137931	34.4272311542	5125	323453
0.0766678	48.28240203857422	64	181.214285714	35.9735588839	200.0	65.0	181.214285714	35.9735588839	5074	328527
-0.00684357	49.04251575469971	65	173.275862069	38.3422847085	200.0	84.0	173.275862069	38.3422847085	5025	333552
-0.00218964	49.78954219818115	66	169.7	41.9206790657	200.0	71.0	169.7	41.9206790657	5091	338643
0.0182648	50.545021057128906	67	178.379310345	33.7295672944	200.0	83.0	178.379310345	33.7295672944	5173	343816
