LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0771532	0.8028819561004639	0	23.5117370892	14.4354188592	119.0	9.0	23.5117370892	14.4354188592	5008	5008
0.105606	1.518303632736206	1	28.2824858757	17.2616742951	92.0	9.0	28.2824858757	17.2616742951	5006	10014
0.060051	2.2269694805145264	2	27.0324324324	13.9845098486	103.0	8.0	27.0324324324	13.9845098486	5001	15015
0.0920601	2.9395534992218018	3	33.6375838926	22.6529743118	147.0	10.0	33.6375838926	22.6529743118	5012	20027
0.0677662	3.656031608581543	4	33.0460526316	18.5767748376	97.0	10.0	33.0460526316	18.5767748376	5023	25050
0.0645971	4.373595714569092	5	35.013986014	18.9920800622	121.0	9.0	35.013986014	18.9920800622	5007	30057
0.0479202	5.079150676727295	6	37.4552238806	21.9390661142	125.0	12.0	37.4552238806	21.9390661142	5019	35076
0.052599	5.79546046257019	7	41.5081967213	22.6752721175	135.0	13.0	41.5081967213	22.6752721175	5064	40140
0.0428543	6.5146825313568115	8	44.7857142857	23.4499575736	129.0	11.0	44.7857142857	23.4499575736	5016	45156
0.0407639	7.238849401473999	9	47.8380952381	24.994903789	136.0	11.0	47.8380952381	24.994903789	5023	50179
0.0269413	7.955668687820435	10	46.7476635514	24.1626472593	135.0	14.0	46.7476635514	24.1626472593	5002	55181
0.0394897	8.66911506652832	11	53.6063829787	27.3165907366	159.0	15.0	53.6063829787	27.3165907366	5039	60220
0.0313797	9.379432201385498	12	49.3137254902	26.246561079	177.0	13.0	49.3137254902	26.246561079	5030	65250
0.0297813	10.079515218734741	13	54.4456521739	30.1342518286	200.0	15.0	54.4456521739	30.1342518286	5009	70259
0.0288181	10.797240495681763	14	55.0769230769	28.7521545372	147.0	13.0	55.0769230769	28.7521545372	5012	75271
0.038147	11.508926391601562	15	63.8481012658	30.9008576374	150.0	15.0	63.8481012658	30.9008576374	5044	80315
0.0400753	12.234404802322388	16	60.9518072289	32.2116134166	176.0	18.0	60.9518072289	32.2116134166	5059	85374
0.0265446	12.955068588256836	17	61.0609756098	32.967222288	200.0	16.0	61.0609756098	32.967222288	5007	90381
0.0355511	13.679707050323486	18	66.4078947368	32.1166367904	200.0	17.0	66.4078947368	32.1166367904	5047	95428
0.0343494	14.402028560638428	19	69.1232876712	32.7556102924	200.0	21.0	69.1232876712	32.7556102924	5046	100474
0.0535355	15.128974914550781	20	78.0307692308	34.2955342376	200.0	17.0	78.0307692308	34.2955342376	5072	105546
0.0643692	15.843761205673218	21	77.0923076923	35.080883717	171.0	17.0	77.0923076923	35.080883717	5011	110557
0.0649796	16.55949354171753	22	86.8103448276	43.195807945	199.0	27.0	86.8103448276	43.195807945	5035	115592
0.0814247	17.2722270488739	23	93.6481481481	41.8295294452	200.0	20.0	93.6481481481	41.8295294452	5057	120649
0.12429	17.98696756362915	24	102.102040816	47.3821825196	200.0	14.0	102.102040816	47.3821825196	5003	125652
0.0622749	18.71837615966797	25	108.765957447	46.9500471375	200.0	31.0	108.765957447	46.9500471375	5112	130764
0.0287743	19.437434196472168	26	119.619047619	48.6566945333	200.0	25.0	119.619047619	48.6566945333	5024	135788
