LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0070728	0.8127944469451904	0	22.9497716895	11.6635574765	103.0	9.0	22.9497716895	11.6635574765	5026	5026
0.00689626	1.5295259952545166	1	24.6650246305	14.818312076	96.0	8.0	24.6650246305	14.818312076	5007	10033
0.00575969	2.260253429412842	2	30.2530120482	18.2653423699	137.0	9.0	30.2530120482	18.2653423699	5022	15055
0.00519163	2.975419282913208	3	31.4716981132	18.1817557741	102.0	8.0	31.4716981132	18.1817557741	5004	20059
0.00623068	3.7028419971466064	4	32.487012987	20.4184271921	128.0	8.0	32.487012987	20.4184271921	5003	25062
0.00336916	4.427679061889648	5	37.6492537313	22.7308251036	134.0	10.0	37.6492537313	22.7308251036	5045	30107
0.00304474	5.163336277008057	6	38.2824427481	20.5088976443	106.0	12.0	38.2824427481	20.5088976443	5015	35122
0.0032114	5.887061595916748	7	38.0984848485	19.8436539923	103.0	11.0	38.0984848485	19.8436539923	5029	40151
0.0023353	6.597307205200195	8	47.1401869159	29.3708001088	147.0	9.0	47.1401869159	29.3708001088	5044	45195
0.00162027	7.323731422424316	9	51.1734693878	35.5966707656	200.0	9.0	51.1734693878	35.5966707656	5015	50210
0.0018194	8.063063383102417	10	48.1037735849	27.2818722194	135.0	14.0	48.1037735849	27.2818722194	5099	55309
0.00277128	8.789302110671997	11	48.1923076923	23.0626558461	128.0	16.0	48.1923076923	23.0626558461	5012	60321
0.00230305	9.507325410842896	12	48.7766990291	25.2947410163	177.0	10.0	48.7766990291	25.2947410163	5024	65345
0.00140344	10.23879337310791	13	54.4456521739	25.8349123956	140.0	15.0	54.4456521739	25.8349123956	5009	70354
0.000822934	10.955813646316528	14	58.9764705882	31.6632934523	200.0	14.0	58.9764705882	31.6632934523	5013	75367
0.00137248	11.668684959411621	15	52.28125	27.0153132212	159.0	15.0	52.28125	27.0153132212	5019	80386
0.00130177	12.395529985427856	16	62.1358024691	30.5665649202	200.0	22.0	62.1358024691	30.5665649202	5033	85419
0.00158033	13.120411157608032	17	59.630952381	30.3953237952	175.0	18.0	59.630952381	30.3953237952	5009	90428
0.00151476	13.838882446289062	18	61.5609756098	27.2074673936	137.0	20.0	61.5609756098	27.2074673936	5048	95476
0.00183145	14.568061351776123	19	68.0945945946	29.1766145337	172.0	19.0	68.0945945946	29.1766145337	5039	100515
0.00199065	15.293811321258545	20	67.7866666667	30.7407626595	153.0	18.0	67.7866666667	30.7407626595	5084	105599
0.00176891	16.032551050186157	21	69.4324324324	32.5991548063	191.0	22.0	69.4324324324	32.5991548063	5138	110737
0.00155184	16.763168334960938	22	80.7419354839	42.707533325	200.0	15.0	80.7419354839	42.707533325	5006	115743
0.00180935	17.502472639083862	23	84.7166666667	41.4142051582	200.0	18.0	84.7166666667	41.4142051582	5083	120826
0.0019641	18.22032403945923	24	83.6666666667	33.9679587585	177.0	28.0	83.6666666667	33.9679587585	5020	125846
0.00253778	18.955332279205322	25	97.5769230769	42.6110973961	200.0	18.0	97.5769230769	42.6110973961	5074	130920
0.00259729	19.680816411972046	26	104.625	48.3923310901	200.0	20.0	104.625	48.3923310901	5022	135942
0.00350496	20.41430902481079	27	110.5	46.2299310159	200.0	39.0	110.5	46.2299310159	5083	141025
0.00389458	21.13617730140686	28	138.944444444	46.7457332839	200.0	51.0	138.944444444	46.7457332839	5002	146027
0.00237697	21.886387825012207	29	136.131578947	48.3153953086	200.0	36.0	136.131578947	48.3153953086	5173	151200
0.000498984	22.636456727981567	30	162.3125	49.2553534527	200.0	28.0	162.3125	49.2553534527	5194	156394
0.00202765	23.387754917144775	31	143.833333333	57.0026802489	200.0	21.0	143.833333333	57.0026802489	5178	161572
0.000218194	24.134782791137695	32	159.4375	53.6026687185	200.0	22.0	159.4375	53.6026687185	5102	166674
0.000243789	24.873219966888428	33	157.4375	49.7474481129	200.0	20.0	157.4375	49.7474481129	5038	171712
0.000283616	25.60975217819214	34	148.911764706	56.1559633034	200.0	22.0	148.911764706	56.1559633034	5063	176775
0.000441037	26.356652975082397	35	156.909090909	46.4858164334	200.0	26.0	156.909090909	46.4858164334	5178	181953
0.000223555	27.113117694854736	36	152.205882353	56.6146828865	200.0	23.0	152.205882353	56.6146828865	5175	187128
0.00043323	27.85383176803589	37	158.46875	48.2629415125	200.0	28.0	158.46875	48.2629415125	5071	192199
0.000640237	28.60311794281006	38	160.9375	55.9675896725	200.0	15.0	160.9375	55.9675896725	5150	197349
0.000535054	29.35600757598877	39	171.5	34.490336811	200.0	106.0	171.5	34.490336811	5145	202494
0.000432309	30.103681802749634	40	165.64516129	46.7274516173	200.0	33.0	165.64516129	46.7274516173	5135	207629
