LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0695553	0.26676321029663086	0	26.6578947368	14.9036843128	79.0	11.0	26.6578947368	14.9036843128	1013	1013
0.0533085	0.41727161407470703	1	28.0833333333	16.4340010006	92.0	11.0	28.0833333333	16.4340010006	1011	2024
0.0602245	0.5715935230255127	2	27.8888888889	18.500417079	107.0	10.0	27.8888888889	18.500417079	1004	3028
-0.0189342	0.7305214405059814	3	30.0294117647	15.9622445976	79.0	11.0	30.0294117647	15.9622445976	1021	4049
0.0398769	0.8914153575897217	4	31.78125	10.3915060717	54.0	13.0	31.78125	10.3915060717	1017	5066
0.0805664	1.0477454662322998	5	32.09375	14.8394730681	59.0	9.0	32.09375	14.8394730681	1027	6093
0.0129929	1.2096054553985596	6	33.5161290323	17.6833637286	70.0	10.0	33.5161290323	17.6833637286	1039	7132
0.046114	1.3674907684326172	7	36.4642857143	20.0008609509	97.0	11.0	36.4642857143	20.0008609509	1021	8153
0.0752792	1.5339980125427246	8	44.5833333333	20.7683988042	95.0	11.0	44.5833333333	20.7683988042	1070	9223
0.0371647	1.6910979747772217	9	36.6071428571	17.5912707364	89.0	14.0	36.6071428571	17.5912707364	1025	10248
0.0715485	1.8526866436004639	10	43.2083333333	21.1994087313	108.0	16.0	43.2083333333	21.1994087313	1037	11285
0.0465164	2.0146539211273193	11	40.1538461538	18.8122143376	86.0	13.0	40.1538461538	18.8122143376	1044	12329
0.0306664	2.172661781311035	12	43.6086956522	20.0363563693	122.0	23.0	43.6086956522	20.0363563693	1003	13332
-0.00780487	2.3179891109466553	13	45.5	24.728985569	130.0	15.0	45.5	24.728985569	1001	14333
-0.00870895	2.475621461868286	14	44.4782608696	16.3357957585	86.0	15.0	44.4782608696	16.3357957585	1023	15356
-0.0352325	2.6381564140319824	15	49.0476190476	20.9113234089	93.0	19.0	49.0476190476	20.9113234089	1030	16386
0.0377846	2.80056095123291	16	54.0526315789	25.7119134464	110.0	23.0	54.0526315789	25.7119134464	1027	17413
0.0641212	2.96364426612854	17	57.0526315789	20.9698371959	116.0	21.0	57.0526315789	20.9698371959	1084	18497
0.0112648	3.125338554382324	18	64.75	25.3414186659	136.0	30.0	64.75	25.3414186659	1036	19533
0.0274391	3.298767566680908	19	52.7142857143	27.4593081749	119.0	12.0	52.7142857143	27.4593081749	1107	20640
0.0264282	3.4619064331054688	20	54.5789473684	25.852447282	125.0	24.0	54.5789473684	25.852447282	1037	21677
-0.00576782	3.62321138381958	21	56.2777777778	23.3352512439	99.0	15.0	56.2777777778	23.3352512439	1013	22690
0.0719986	3.786242723464966	22	59.7058823529	20.3492006083	101.0	35.0	59.7058823529	20.3492006083	1015	23705
0.0848007	3.958007574081421	23	56.55	30.6536702533	150.0	28.0	56.55	30.6536702533	1131	24836
-0.00126648	4.122899293899536	24	55.2105263158	20.9901705	110.0	29.0	55.2105263158	20.9901705	1049	25885
0.0188637	4.277575731277466	25	56.7222222222	25.9653734285	109.0	20.0	56.7222222222	25.9653734285	1021	26906
0.00832367	4.436223268508911	26	64.75	23.6709209791	109.0	30.0	64.75	23.6709209791	1036	27942
0.0001297	4.586613178253174	27	59.0	20.2745856562	89.0	23.0	59.0	20.2745856562	1003	28945
0.00129318	4.751018047332764	28	56.3888888889	25.7102203822	113.0	17.0	56.3888888889	25.7102203822	1015	29960
-0.00964737	4.911317825317383	29	55.2105263158	21.0727535417	120.0	31.0	55.2105263158	21.0727535417	1049	31009
0.0236092	5.077770948410034	30	61.8235294118	23.5202923504	121.0	28.0	61.8235294118	23.5202923504	1051	32060
-0.00970268	5.245162010192871	31	51.5	10.7819293264	73.0	34.0	51.5	10.7819293264	1030	33090
0.0633125	5.4280171394348145	32	58.3333333333	26.4764045897	117.0	19.0	58.3333333333	26.4764045897	1050	34140
0.0119247	5.60162878036499	33	56.3333333333	22.9975844142	106.0	27.0	56.3333333333	22.9975844142	1014	35154
0.0304298	5.767058372497559	34	68.375	23.4943477245	109.0	23.0	68.375	23.4943477245	1094	36248
0.0348129	5.9209303855896	35	64.375	21.5779835712	116.0	42.0	64.375	21.5779835712	1030	37278
0.0223694	6.085963487625122	36	59.2777777778	22.7957246371	115.0	28.0	59.2777777778	22.7957246371	1067	38345
0.00432587	6.242608308792114	37	64.375	28.0220337413	141.0	34.0	64.375	28.0220337413	1030	39375
0.0951729	6.404228210449219	38	78.1428571429	34.3633050607	148.0	30.0	78.1428571429	34.3633050607	1094	40469
0.0411072	6.559280157089233	39	62.2352941176	17.1448136962	104.0	26.0	62.2352941176	17.1448136962	1058	41527
0.0350914	6.724547863006592	40	80.5384615385	35.5432897153	178.0	44.0	80.5384615385	35.5432897153	1047	42574
0.0104637	6.885917901992798	41	77.3571428571	21.8325024508	124.0	46.0	77.3571428571	21.8325024508	1083	43657
0.0298309	7.04845404624939	42	78.0714285714	26.2908574161	138.0	47.0	78.0714285714	26.2908574161	1093	44750
0.00150299	7.204078197479248	43	78.7692307692	49.2421861762	190.0	30.0	78.7692307692	49.2421861762	1024	45774
0.0109482	7.387624025344849	44	73.6875	38.8823847488	186.0	20.0	73.6875	38.8823847488	1179	46953
0.0320778	7.537585258483887	45	71.7857142857	29.0619500167	132.0	40.0	71.7857142857	29.0619500167	1005	47958
0.00949097	7.698730945587158	46	74.9285714286	17.1650154414	111.0	53.0	74.9285714286	17.1650154414	1049	49007
0.0549698	7.8582258224487305	47	71.6	28.0233236192	124.0	32.0	71.6	28.0233236192	1074	50081
0.0267181	8.013083457946777	48	74.2142857143	17.9251561915	113.0	53.0	74.2142857143	17.9251561915	1039	51120
0.0127373	8.165893316268921	49	73.2142857143	28.025953715	138.0	23.0	73.2142857143	28.025953715	1025	52145
0.0144615	8.321085214614868	50	74.0	31.1517025446	129.0	18.0	74.0	31.1517025446	1036	53181
0.0961761	8.489903211593628	51	83.8461538462	16.6910669514	112.0	56.0	83.8461538462	16.6910669514	1090	54271
0.0512886	8.644263744354248	52	94.6363636364	19.5041847597	122.0	63.0	94.6363636364	19.5041847597	1041	55312
0.164398	8.797695875167847	53	85.0833333333	22.8270976887	129.0	51.0	85.0833333333	22.8270976887	1021	56333
-0.0353851	8.951859474182129	54	93.0	33.9438038261	162.0	55.0	93.0	33.9438038261	1023	57356
0.0178337	9.109771966934204	55	82.3076923077	32.4923295454	177.0	50.0	82.3076923077	32.4923295454	1070	58426
0.00475311	9.274336099624634	56	82.6923076923	32.9273900841	150.0	23.0	82.6923076923	32.9273900841	1075	59501
-0.00341797	9.448599338531494	57	98.4166666667	34.841207244	194.0	64.0	98.4166666667	34.841207244	1181	60682
0.223412	9.602488279342651	58	86.8333333333	37.0311430495	181.0	43.0	86.8333333333	37.0311430495	1042	61724
-0.0367966	9.767964601516724	59	107.1	29.8377277955	174.0	73.0	107.1	29.8377277955	1071	62795
0.0714378	9.933268308639526	60	95.0909090909	39.2021672533	167.0	56.0	95.0909090909	39.2021672533	1046	63841
0.25898	10.088018894195557	61	129.375	50.3610402494	200.0	71.0	129.375	50.3610402494	1035	64876
-0.140133	10.244887828826904	62	94.8181818182	47.5830722036	200.0	29.0	94.8181818182	47.5830722036	1043	65919
0.0602951	10.407527446746826	63	119.888888889	36.3178696281	200.0	67.0	119.888888889	36.3178696281	1079	66998
0.0680237	10.566007852554321	64	81.5384615385	20.5112178861	120.0	45.0	81.5384615385	20.5112178861	1060	68058
-0.103096	10.724847316741943	65	89.6666666667	38.7327022324	157.0	45.0	89.6666666667	38.7327022324	1076	69134
0.0221062	10.889755487442017	66	95.7272727273	48.9008103839	200.0	45.0	95.7272727273	48.9008103839	1053	70187
0.127556	11.049236536026001	67	134.25	39.2929701092	200.0	89.0	134.25	39.2929701092	1074	71261
0.112709	11.212120771408081	68	116.444444444	34.1047768277	200.0	74.0	116.444444444	34.1047768277	1048	72309
0.185966	11.361629486083984	69	169.833333333	25.0693482608	200.0	137.0	169.833333333	25.0693482608	1019	73328
-0.204842	11.520984649658203	70	118.0	38.8587184555	200.0	68.0	118.0	38.8587184555	1062	74390
-0.0571518	11.69093108177185	71	163.285714286	30.3866243399	200.0	97.0	163.285714286	30.3866243399	1143	75533
-0.206757	11.837202310562134	72	125.875	37.0116113537	180.0	66.0	125.875	37.0116113537	1007	76540
0.0371017	11.99167513847351	73	148.857142857	36.945630213	200.0	83.0	148.857142857	36.945630213	1042	77582
0.0196075	12.162638902664185	74	163.142857143	29.7917945147	200.0	114.0	163.142857143	29.7917945147	1142	78724
0.0293808	12.333854675292969	75	158.857142857	35.9023619256	200.0	120.0	158.857142857	35.9023619256	1112	79836
0.107483	12.499439477920532	76	157.714285714	33.3454399783	200.0	113.0	157.714285714	33.3454399783	1104	80940
0.116196	12.65304446220398	77	173.333333333	37.8843268677	200.0	102.0	173.333333333	37.8843268677	1040	81980
0.0306549	12.817165851593018	78	175.0	23.4662878757	200.0	132.0	175.0	23.4662878757	1050	83030
-0.146461	12.982083082199097	79	185.666666667	20.4749169039	200.0	152.0	185.666666667	20.4749169039	1114	84144
0.112328	13.138765096664429	80	170.0	27.5136329844	200.0	126.0	170.0	27.5136329844	1020	85164
0.123535	13.29263162612915	81	145.0	32.518126813	200.0	108.0	145.0	32.518126813	1015	86179
0.0492401	13.459388732910156	82	183.5	16.6207701386	200.0	163.0	183.5	16.6207701386	1101	87280
-0.0250854	13.622073411941528	83	178.166666667	20.0201287597	200.0	138.0	178.166666667	20.0201287597	1069	88349
0.121941	13.77689790725708	84	167.166666667	23.8356642217	200.0	144.0	167.166666667	23.8356642217	1003	89352
0.148788	13.94554591178894	85	180.333333333	28.1937739384	200.0	133.0	180.333333333	28.1937739384	1082	90434
0.0373688	14.119234323501587	86	184.0	24.2280828792	200.0	137.0	184.0	24.2280828792	1104	91538
0.105103	14.293591022491455	87	188.5	21.1797859605	200.0	142.0	188.5	21.1797859605	1131	92669
0.09272	14.468586921691895	88	178.5	26.8995043325	200.0	129.0	178.5	26.8995043325	1071	93740
0.218491	14.635220766067505	89	179.333333333	29.5616117438	200.0	118.0	179.333333333	29.5616117438	1076	94816
0.140396	14.8213951587677	90	192.333333333	8.51795489279	200.0	176.0	192.333333333	8.51795489279	1154	95970
0.030838	14.988796710968018	91	176.166666667	26.7358477621	200.0	136.0	176.166666667	26.7358477621	1057	97027
0.0551605	15.1516592502594	92	173.833333333	22.7992446269	200.0	143.0	173.833333333	22.7992446269	1043	98070
0.0159683	15.30609655380249	93	167.5	34.1357583774	200.0	117.0	167.5	34.1357583774	1005	99075
-0.21524	15.466354608535767	94	169.833333333	28.2985080094	200.0	126.0	169.833333333	28.2985080094	1019	100094
-0.0805359	15.62272596359253	95	171.166666667	18.8185782909	200.0	138.0	171.166666667	18.8185782909	1027	101121
0.445854	15.782602787017822	96	171.333333333	34.1060437785	200.0	100.0	171.333333333	34.1060437785	1028	102149
0.3181	15.953724384307861	97	162.0	30.8961393797	200.0	111.0	162.0	30.8961393797	1134	103283
-0.101921	16.131590843200684	98	163.857142857	30.0923747884	200.0	127.0	163.857142857	30.0923747884	1147	104430
-0.192337	16.310768842697144	99	167.0	35.7571171737	200.0	112.0	167.0	35.7571171737	1169	105599
