LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0922327	0.25951075553894043	0	22.5777777778	11.8687056093	60.0	9.0	22.5777777778	11.8687056093	1016	1016
0.144267	0.42242932319641113	1	30.3939393939	19.6729923991	104.0	9.0	30.3939393939	19.6729923991	1003	2019
0.0700703	0.568608283996582	2	25.8205128205	14.3631861955	62.0	9.0	25.8205128205	14.3631861955	1007	3026
0.0750561	0.7229616641998291	3	26.6842105263	15.2317280755	90.0	11.0	26.6842105263	15.2317280755	1014	4040
0.0497026	0.8886327743530273	4	26.9210526316	13.0573261931	71.0	10.0	26.9210526316	13.0573261931	1023	5063
0.0567532	1.043156385421753	5	31.0606060606	19.1879687588	97.0	11.0	31.0606060606	19.1879687588	1025	6088
0.0879555	1.1941397190093994	6	41.36	30.0251627806	133.0	11.0	41.36	30.0251627806	1034	7122
0.066865	1.341080665588379	7	35.0689655172	16.0836842461	77.0	11.0	35.0689655172	16.0836842461	1017	8139
0.0793705	1.4887170791625977	8	52.7368421053	30.416135097	124.0	15.0	52.7368421053	30.416135097	1002	9141
0.0359783	1.641453742980957	9	42.5833333333	23.7502923959	110.0	14.0	42.5833333333	23.7502923959	1022	10163
0.0040493	1.7906312942504883	10	48.0952380952	22.5471036296	90.0	16.0	48.0952380952	22.5471036296	1010	11173
0.0577221	1.9450924396514893	11	48.9090909091	24.5632931811	119.0	18.0	48.9090909091	24.5632931811	1076	12249
0.0818729	2.09604811668396	12	53.4736842105	35.8393615149	137.0	14.0	53.4736842105	35.8393615149	1016	13265
0.0182037	2.2449214458465576	13	56.7222222222	29.0015431688	117.0	20.0	56.7222222222	29.0015431688	1021	14286
0.0177269	2.405154228210449	14	47.3181818182	14.94348859	74.0	16.0	47.3181818182	14.94348859	1041	15327
0.0513096	2.5567991733551025	15	61.0588235294	40.612183898	200.0	15.0	61.0588235294	40.612183898	1038	16365
0.0503902	2.703676223754883	16	67.1333333333	29.3118102857	137.0	24.0	67.1333333333	29.3118102857	1007	17372
0.0368938	2.85646915435791	17	65.8125	36.7818208324	178.0	34.0	65.8125	36.7818208324	1053	18425
0.032526	3.008779764175415	18	72.7857142857	33.9730535476	141.0	28.0	72.7857142857	33.9730535476	1019	19444
0.0873413	3.153059482574463	19	91.0909090909	53.9266413253	200.0	18.0	91.0909090909	53.9266413253	1002	20446
0.0450668	3.314424991607666	20	78.0714285714	38.7767682395	151.0	31.0	78.0714285714	38.7767682395	1093	21539
0.0319386	3.467141628265381	21	83.9166666667	38.9603609098	166.0	19.0	83.9166666667	38.9603609098	1007	22546
0.0849247	3.6271862983703613	22	76.6428571429	40.2875506167	183.0	25.0	76.6428571429	40.2875506167	1073	23619
0.0413399	3.7946507930755615	23	106.0	40.0658548801	176.0	40.0	106.0	40.0658548801	1166	24785
0.0276203	3.9497954845428467	24	75.2857142857	35.5154464814	138.0	32.0	75.2857142857	35.5154464814	1054	25839
0.0282211	4.1090614795684814	25	99.3636363636	41.2911452697	158.0	28.0	99.3636363636	41.2911452697	1093	26932
0.0195465	4.272621393203735	26	98.4545454545	49.6503476805	189.0	40.0	98.4545454545	49.6503476805	1083	28015
0.0835724	4.439011335372925	27	143.0	66.6033032214	200.0	21.0	143.0	66.6033032214	1144	29159
0.066803	4.618239641189575	28	147.75	58.276817861	200.0	38.0	147.75	58.276817861	1182	30341
0.056839	4.786418199539185	29	124.888888889	49.2283668099	200.0	16.0	124.888888889	49.2283668099	1124	31465
0.0275841	4.94498085975647	30	137.75	33.7925657505	200.0	102.0	137.75	33.7925657505	1102	32567
0.0345192	5.107569217681885	31	122.0	57.0029239016	200.0	29.0	122.0	57.0029239016	1098	33665
0.07061	5.260327577590942	32	168.666666667	41.2094918947	200.0	88.0	168.666666667	41.2094918947	1012	34677
0.0313301	5.4363226890563965	33	170.285714286	31.2808215352	200.0	109.0	170.285714286	31.2808215352	1192	35869
