LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.00480941	0.24747347831726074	0	28.4444444444	13.8673165802	58.0	10.0	28.4444444444	13.8673165802	1024	1024
0.00398796	0.3974301815032959	1	28.2222222222	19.2312117708	100.0	9.0	28.2222222222	19.2312117708	1016	2040
0.00475816	0.554685115814209	2	27.6052631579	15.0149740587	91.0	9.0	27.6052631579	15.0149740587	1049	3089
0.0045335	0.6984961032867432	3	32.7096774194	17.5649826651	72.0	12.0	32.7096774194	17.5649826651	1014	4103
0.0028862	0.8492703437805176	4	41.52	22.0492539556	105.0	13.0	41.52	22.0492539556	1038	5141
0.0035779	0.9991872310638428	5	36.7142857143	15.2335558715	68.0	12.0	36.7142857143	15.2335558715	1028	6169
0.00501709	1.1507234573364258	6	29.7352941176	14.1760129289	70.0	10.0	29.7352941176	14.1760129289	1011	7180
0.00128735	1.296959400177002	7	48.5238095238	23.6313332103	100.0	19.0	48.5238095238	23.6313332103	1019	8199
0.00284239	1.4517743587493896	8	37.7407407407	16.9718559901	69.0	15.0	37.7407407407	16.9718559901	1019	9218
0.00094862	1.6027514934539795	9	52.6842105263	31.7092923979	161.0	18.0	52.6842105263	31.7092923979	1001	10219
0.00187416	1.759084701538086	10	53.6315789474	25.5429679814	145.0	26.0	53.6315789474	25.5429679814	1019	11238
0.00187252	1.9094359874725342	11	41.9583333333	19.6796831925	100.0	16.0	41.9583333333	19.6796831925	1007	12245
0.00160479	2.0684032440185547	12	47.5909090909	24.2705565934	112.0	13.0	47.5909090909	24.2705565934	1047	13292
0.00249054	2.227316379547119	13	48.9523809524	24.0900615557	115.0	18.0	48.9523809524	24.0900615557	1028	14320
0.000635797	2.380065441131592	14	50.45	19.7875592229	94.0	21.0	50.45	19.7875592229	1009	15329
0.00142346	2.533665180206299	15	50.95	17.5341809047	76.0	20.0	50.95	17.5341809047	1019	16348
0.00126756	2.693100690841675	16	53.45	21.6874963977	99.0	20.0	53.45	21.6874963977	1069	17417
0.000969923	2.84407114982605	17	50.95	15.2133986998	87.0	26.0	50.95	15.2133986998	1019	18436
0.00158494	3.0024805068969727	18	67.0666666667	32.6771411778	136.0	17.0	67.0666666667	32.6771411778	1006	19442
0.000308974	3.150132417678833	19	59.4705882353	25.5690935841	127.0	26.0	59.4705882353	25.5690935841	1011	20453
-6.63158e-05	3.300474166870117	20	72.2857142857	22.0467962409	107.0	36.0	72.2857142857	22.0467962409	1012	21465
0.00101552	3.446685552597046	21	53.0	19.6683020432	98.0	22.0	53.0	19.6683020432	1007	22472
0.00106945	3.6099536418914795	22	59.3333333333	14.2828568571	95.0	33.0	59.3333333333	14.2828568571	1068	23540
0.000980014	3.7606923580169678	23	57.3888888889	21.5384382207	114.0	28.0	57.3888888889	21.5384382207	1033	24573
0.00128772	3.926046371459961	24	66.0	32.3419232576	150.0	32.0	66.0	32.3419232576	1122	25695
0.000968087	4.0851805210113525	25	55.7894736842	21.7705231602	85.0	19.0	55.7894736842	21.7705231602	1060	26755
0.000435282	4.251563549041748	26	71.8666666667	31.1637966593	148.0	30.0	71.8666666667	31.1637966593	1078	27833
0.000817629	4.403843641281128	27	65.375	31.246749831	168.0	22.0	65.375	31.246749831	1046	28879
0.00126023	4.551861047744751	28	66.8666666667	20.841838264	107.0	35.0	66.8666666667	20.841838264	1003	29882
0.00188065	4.705373048782349	29	93.5454545455	38.985693498	165.0	55.0	93.5454545455	38.985693498	1029	30911
0.00119616	4.856449127197266	30	84.1666666667	32.7409868853	157.0	33.0	84.1666666667	32.7409868853	1010	31921
0.00163613	5.008488178253174	31	77.0	39.9942303531	167.0	23.0	77.0	39.9942303531	1001	32922
0.0021601	5.1712329387664795	32	86.5833333333	38.0711140134	168.0	48.0	86.5833333333	38.0711140134	1039	33961
0.000987219	5.330045938491821	33	85.6666666667	31.398867637	137.0	32.0	85.6666666667	31.398867637	1028	34989
0.00216268	5.4810144901275635	34	84.4166666667	24.4794414878	121.0	36.0	84.4166666667	24.4794414878	1013	36002
0.00202927	5.631742000579834	35	71.5714285714	32.0662579351	145.0	26.0	71.5714285714	32.0662579351	1002	37004
0.00351748	5.787864685058594	36	93.0	30.3105142274	155.0	56.0	93.0	30.3105142274	1023	38027
0.00338574	5.954035520553589	37	121.888888889	54.3557100025	200.0	29.0	121.888888889	54.3557100025	1097	39124
0.000864574	6.116301774978638	38	116.111111111	37.9281321696	200.0	70.0	116.111111111	37.9281321696	1045	40169
0.00172279	6.294809341430664	39	147.875	52.539122328	200.0	67.0	147.875	52.539122328	1183	41352
0.00218873	6.459815740585327	40	134.875	58.6737537149	200.0	33.0	134.875	58.6737537149	1079	42431
0.00107869	6.618666648864746	41	152.428571429	50.9000621466	200.0	50.0	152.428571429	50.9000621466	1067	43498
0.00242138	6.796366930007935	42	168.142857143	31.8273403199	200.0	119.0	168.142857143	31.8273403199	1177	44675
2.11e-05	6.960450649261475	43	153.714285714	53.4888887947	200.0	72.0	153.714285714	53.4888887947	1076	45751
0.0002389	7.1186723709106445	44	147.714285714	58.1149459156	200.0	21.0	147.714285714	58.1149459156	1034	46785
-7.24321e-05	7.278601408004761	45	119.666666667	31.9443961352	200.0	88.0	119.666666667	31.9443961352	1077	47862
0.000519131	7.457162141799927	46	123.444444444	39.8806862504	200.0	72.0	123.444444444	39.8806862504	1111	48973
0.000328063	7.617704629898071	47	151.571428571	39.0049709025	200.0	99.0	151.571428571	39.0049709025	1061	50034
0.000736368	7.779310703277588	48	136.875	35.9215725574	200.0	103.0	136.875	35.9215725574	1095	51129
0.000772228	7.948662996292114	49	142.375	48.1454502004	200.0	82.0	142.375	48.1454502004	1139	52268
0.00103454	8.107398748397827	50	152.428571429	41.6202462506	200.0	79.0	152.428571429	41.6202462506	1067	53335
0.00194993	8.276415586471558	51	163.0	36.3318042492	200.0	117.0	163.0	36.3318042492	1141	54476
0.000944015	8.440730810165405	52	161.142857143	47.1575734606	200.0	78.0	161.142857143	47.1575734606	1128	55604
0.000745059	8.599162817001343	53	174.333333333	37.1872140512	200.0	109.0	174.333333333	37.1872140512	1046	56650
