LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0282026	0.28131937980651855	0	21.2978723404	10.2519637841	51.0	9.0	21.2978723404	10.2519637841	1001	1001
0.0149536	0.44125962257385254	1	26.1538461538	13.6561030999	74.0	10.0	26.1538461538	13.6561030999	1020	2021
0.00975196	0.5968029499053955	2	29.3428571429	16.8233559709	95.0	11.0	29.3428571429	16.8233559709	1027	3048
0.0117387	0.7545104026794434	3	36.0689655172	23.7471320003	93.0	11.0	36.0689655172	23.7471320003	1046	4094
0.00612505	0.9124977588653564	4	39.0	16.8317465614	80.0	14.0	39.0	16.8317465614	1014	5108
0.00755946	1.0748202800750732	5	52.2	32.9690764202	146.0	14.0	52.2	32.9690764202	1044	6152
0.00456019	1.236602783203125	6	52.35	23.1824826108	119.0	20.0	52.35	23.1824826108	1047	7199
0.00659087	1.39347243309021	7	53.2631578947	26.2434796017	101.0	14.0	53.2631578947	26.2434796017	1012	8211
0.00483758	1.5548596382141113	8	69.4	30.0528423503	121.0	23.0	69.4	30.0528423503	1041	9252
0.00442448	1.7206339836120605	9	67.0625	27.5464806055	124.0	24.0	67.0625	27.5464806055	1073	10325
0.00476142	1.887361764907837	10	88.5833333333	45.8683956796	189.0	26.0	88.5833333333	45.8683956796	1063	11388
0.00734609	2.0537869930267334	11	115.888888889	50.9039279088	199.0	43.0	115.888888889	50.9039279088	1043	12431
0.00376882	2.230933427810669	12	101.0	28.210249588	136.0	35.0	101.0	28.210249588	1111	13542
0.00391844	2.3996527194976807	13	114.4	40.2174091657	178.0	36.0	114.4	40.2174091657	1144	14686
0.000417117	2.5710103511810303	14	138.75	52.634945616	200.0	37.0	138.75	52.634945616	1110	15796
0.00186821	2.7520387172698975	15	109.6	27.1447969232	172.0	74.0	109.6	27.1447969232	1096	16892
0.00103666	2.9190480709075928	16	133.375	41.6741451622	200.0	92.0	133.375	41.6741451622	1067	17959
0.00088278	3.0840513706207275	17	128.125	29.8011639873	197.0	101.0	128.125	29.8011639873	1025	18984
0.00210262	3.251082420349121	18	150.857142857	48.0340015627	200.0	80.0	150.857142857	48.0340015627	1056	20040
0.00314462	3.412986993789673	19	146.142857143	35.0568052143	200.0	99.0	146.142857143	35.0568052143	1023	21063
0.00264375	3.592501163482666	20	165.714285714	36.6594921862	200.0	107.0	165.714285714	36.6594921862	1160	22223
0.00145894	3.7774670124053955	21	190.833333333	20.4972897937	200.0	145.0	190.833333333	20.4972897937	1145	23368
0.000345038	3.9517929553985596	22	184.333333333	16.7796172649	200.0	157.0	184.333333333	16.7796172649	1106	24474
0.00317835	4.138461112976074	23	194.5	12.2983738762	200.0	167.0	194.5	12.2983738762	1167	25641
0.00661078	4.314741849899292	24	181.166666667	20.1114947784	200.0	151.0	181.166666667	20.1114947784	1087	26728
0.000972615	4.4996209144592285	25	188.166666667	16.757253819	200.0	163.0	188.166666667	16.757253819	1129	27857
0.00122897	4.6795408725738525	26	189.166666667	18.676336781	200.0	149.0	189.166666667	18.676336781	1135	28992
-0.000497062	4.86600923538208	27	189.166666667	24.2240697562	200.0	135.0	189.166666667	24.2240697562	1135	30127
0.00640376	5.0448315143585205	28	163.571428571	32.5043168248	200.0	110.0	163.571428571	32.5043168248	1145	31272
-0.000923149	5.219114780426025	29	185.333333333	21.0290803941	200.0	150.0	185.333333333	21.0290803941	1112	32384
0.000252485	5.387106657028198	30	182.166666667	25.8096665784	200.0	137.0	182.166666667	25.8096665784	1093	33477
0.00260774	5.560362100601196	31	178.333333333	22.9685775693	200.0	145.0	178.333333333	22.9685775693	1070	34547
0.00171908	5.735253095626831	32	159.571428571	16.7831305002	181.0	127.0	159.571428571	16.7831305002	1117	35664
0.0086055	5.915650129318237	33	191.0	14.5028732785	200.0	160.0	191.0	14.5028732785	1146	36810
-0.000130461	6.093614101409912	34	187.5	17.6988700204	200.0	161.0	187.5	17.6988700204	1125	37935
0.00469952	6.283750534057617	35	200.0	0.0	200.0	200.0	200.0	0.0	1200	39135
0.000261916	6.466552257537842	36	196.833333333	7.08088192875	200.0	181.0	196.833333333	7.08088192875	1181	40316
0.00217476	6.649599552154541	37	200.0	0.0	200.0	200.0	200.0	0.0	1200	41516
0.000346309	6.83262825012207	38	200.0	0.0	200.0	200.0	200.0	0.0	1200	42716
-0.000619562	7.010689973831177	39	200.0	0.0	200.0	200.0	200.0	0.0	1200	43916
0.00216318	7.198332071304321	40	200.0	0.0	200.0	200.0	200.0	0.0	1200	45116
0.000567384	7.381340026855469	41	200.0	0.0	200.0	200.0	200.0	0.0	1200	46316
0.000485561	7.56649923324585	42	200.0	0.0	200.0	200.0	200.0	0.0	1200	47516
0.00109838	7.747800350189209	43	200.0	0.0	200.0	200.0	200.0	0.0	1200	48716
0.0024098	7.932310342788696	44	200.0	0.0	200.0	200.0	200.0	0.0	1200	49916
0.00271393	8.118601083755493	45	200.0	0.0	200.0	200.0	200.0	0.0	1200	51116
-0.000823938	8.3074791431427	46	200.0	0.0	200.0	200.0	200.0	0.0	1200	52316
-0.000706685	8.49429988861084	47	200.0	0.0	200.0	200.0	200.0	0.0	1200	53516
0.00264374	8.679890632629395	48	199.666666667	0.7453559925	200.0	198.0	199.666666667	0.7453559925	1198	54714
-0.000672976	8.873402833938599	49	197.666666667	3.4960294939	200.0	191.0	197.666666667	3.4960294939	1186	55900
0.000894078	9.04286813735962	50	181.833333333	40.6219015912	200.0	91.0	181.833333333	40.6219015912	1091	56991
0.000651397	9.224980115890503	51	194.166666667	10.237458452	200.0	172.0	194.166666667	10.237458452	1165	58156
9.84585e-05	9.396469354629517	52	182.833333333	38.3858336137	200.0	97.0	182.833333333	38.3858336137	1097	59253
0.00176051	9.57738733291626	53	164.142857143	37.1845919374	200.0	95.0	164.142857143	37.1845919374	1149	60402
0.000774221	9.76040768623352	54	195.5	10.0623058987	200.0	173.0	195.5	10.0623058987	1173	61575
0.000416572	9.952063083648682	55	200.0	0.0	200.0	200.0	200.0	0.0	1200	62775
0.00189362	10.127577304840088	56	184.166666667	35.4044096437	200.0	105.0	184.166666667	35.4044096437	1105	63880
