Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	-493.548176631	43.3934557274	-593.771995098	-446.453530487	381.547678709	30.8821057067	327.377496982	446.736081347
1	-1122.13385831	92.4521714872	-1241.09257746	-955.072426711	987.157963115	60.9017195608	886.845044731	1081.49728055
2	-1300.21775916	80.8117771081	-1433.16902329	-1156.4153666	1146.6968579	70.6912337745	1028.76144524	1274.93113441
3	-1463.68921632	77.8571301214	-1587.3212915	-1282.32051172	1311.04014914	60.172262318	1165.03142264	1386.06158506
4	-1476.02959445	32.4188386698	-1527.74978247	-1405.82416798	1288.18978053	39.6180404285	1210.32037046	1346.56234414
5	-1517.83157369	61.4665722173	-1636.92939389	-1435.94686672	1355.52121266	59.9004458616	1268.38298121	1471.72099915
6	-1553.95070075	58.6826645157	-1639.75364295	-1444.31385474	1360.97561667	53.6538321192	1262.00850239	1447.2751234
7	-1440.04615024	62.6379689956	-1514.05029943	-1318.2470093	1259.52198589	60.5724545091	1161.29520242	1362.44675516
8	-1565.48427033	73.6200664929	-1679.88953422	-1424.21737389	1390.75665276	71.4632575969	1284.51299866	1497.2432442
9	-1526.40374135	44.2392699116	-1621.9985455	-1477.82096817	1345.65692918	52.1386068504	1279.72212546	1467.99717653
10	-1567.6126466	62.2437455739	-1652.81324375	-1444.15659761	1381.93103697	51.0084790884	1272.9300205	1466.36174963
11	-1552.71880645	59.8835661429	-1683.74058116	-1494.38416825	1364.29074007	49.1043679333	1296.16305732	1469.05953512
12	-1558.07898826	49.83210052	-1661.20893805	-1500.25770034	1369.93761766	38.7408817538	1327.68256649	1447.39093546
13	-1562.93104764	51.6961976147	-1648.15166542	-1484.96541419	1379.22587931	53.9335577895	1305.51329604	1449.73495292
14	-1560.4870295	70.7240293753	-1699.44325916	-1463.04704177	1392.28268965	65.9248910375	1304.92694065	1543.58923526
